value,count,mean_shap,median_shap,mean_abs_shap
Dusk,110,0.101120986,0.094527036,0.101120986
Night,857,-0.055501606,-0.053026803,0.07662738
Not reported,2407,0.056787267,0.026740955,0.057118967
Day,1557,-0.0022835997,-0.003747183,0.0365146
Dawn,69,-0.00020567857,-0.0019230423,0.015811766
