case_type,INDEX_NR,feature,grouped_shap_raw_log_odds,abs_grouped_shap,rank,original_value
true_positive,1353953,SIZE,1.7441843748092651,1.7441843748092651,1,Large
true_positive,1353953,AC_MASS_GROUP,0.816648006439209,0.816648006439209,2,Light
true_positive,1353953,TYPE_ENG,0.1967909187078476,0.1967909187078476,3,A
true_positive,1353953,WARNED,-0.17787155508995056,0.17787155508995056,4,Yes
true_positive,1353953,HEIGHT,0.1746189445257187,0.1746189445257187,5,500.0
true_positive,1353953,MONTH_COS,-0.09113305062055588,0.09113305062055588,6,-1.8369701987210294e-16
true_positive,1353953,NUM_STRUCK,-0.08502107113599777,0.08502107113599777,7,1
true_positive,1353953,SPEED,0.07181300222873688,0.07181300222873688,8,70.0
true_positive,1353953,TIME_OF_DAY,0.07076145708560944,0.07076145708560944,9,Day
true_positive,1353953,AIRPORT_ID,-0.0661635547876358,0.0661635547876358,10,KAPC
true_positive,1353953,MONTH_SIN,-0.0633910521864891,0.0633910521864891,11,-1.0
true_positive,1353953,STATE,-0.03800176456570625,0.03800176456570625,12,CA
true_positive,1353953,AC_CLASS,0.036523446440696716,0.036523446440696716,13,A
true_positive,1353953,WILDLIFE_TYPE,-0.023607861250638962,0.023607861250638962,14,Bird
true_positive,1353953,PHASE_OF_FLIGHT,0.022980855777859688,0.022980855777859688,15,Approach
true_positive,1353953,FAAREGION,-0.011983146890997887,0.011983146890997887,16,AWP
true_positive,1353953,SKY,0.009921273216605186,0.009921273216605186,17,No Cloud
true_positive,1353953,NUM_ENGS,0.008468418382108212,0.008468418382108212,18,1.0
true_positive,1353953,SEASON,-0.0020412225276231766,0.0020412225276231766,19,Autumn
true_positive,1353953,PRECIPITATION,-0.00046876101987436414,0.00046876101987436414,20,Not reported
true_negative,1171521,SIZE,-1.1057183742523193,1.1057183742523193,1,Small
true_negative,1171521,AC_MASS_GROUP,-0.2112322449684143,0.2112322449684143,2,Heavy
true_negative,1171521,MONTH_COS,0.17836713790893555,0.17836713790893555,3,0.8660254037844387
true_negative,1171521,NUM_STRUCK,-0.12309040874242783,0.12309040874242783,4,1
true_negative,1171521,WARNED,-0.08805710077285767,0.08805710077285767,5,Yes
true_negative,1171521,AIRPORT_ID,-0.07294391095638275,0.07294391095638275,6,KRSW
true_negative,1171521,STATE,0.06543587893247604,0.06543587893247604,7,FL
true_negative,1171521,PHASE_OF_FLIGHT,-0.05663721635937691,0.05663721635937691,8,Approach
true_negative,1171521,HEIGHT,0.043627116829156876,0.043627116829156876,9,300.0
true_negative,1171521,AC_CLASS,0.043163709342479706,0.043163709342479706,10,A
true_negative,1171521,SPEED,-0.039715107530355453,0.039715107530355453,11,
true_negative,1171521,FAAREGION,-0.03817938268184662,0.03817938268184662,12,ASO
true_negative,1171521,PRECIPITATION,0.02433009445667267,0.02433009445667267,13,Rain
true_negative,1171521,TIME_OF_DAY,0.021870460361242294,0.021870460361242294,14,Day
true_negative,1171521,SKY,-0.021037273108959198,0.021037273108959198,15,Overcast
true_negative,1171521,WILDLIFE_TYPE,-0.01757929101586342,0.01757929101586342,16,Bird
true_negative,1171521,SEASON,0.01591578684747219,0.01591578684747219,17,Winter
true_negative,1171521,NUM_ENGS,-0.006538089830428362,0.006538089830428362,18,2.0
true_negative,1171521,TYPE_ENG,-0.005306560546159744,0.005306560546159744,19,D
true_negative,1171521,MONTH_SIN,0.002055827062577009,0.002055827062577009,20,0.4999999999999999
false_positive,1185098,SIZE,1.810371994972229,1.810371994972229,1,Large
false_positive,1185098,MONTH_COS,0.20497184991836548,0.20497184991836548,2,0.8660254037844387
false_positive,1185098,NUM_STRUCK,-0.1185772493481636,0.1185772493481636,3,1
false_positive,1185098,HEIGHT,-0.10272501409053802,0.10272501409053802,4,
false_positive,1185098,AC_CLASS,0.08412797749042511,0.08412797749042511,5,A
false_positive,1185098,WARNED,-0.0749228224158287,0.0749228224158287,6,Yes
false_positive,1185098,AIRPORT_ID,-0.0681486651301384,0.0681486651301384,7,KEWR
false_positive,1185098,AC_MASS_GROUP,-0.053978681564331055,0.053978681564331055,8,Heavy
false_positive,1185098,SPEED,-0.040353529155254364,0.040353529155254364,9,
false_positive,1185098,PHASE_OF_FLIGHT,-0.03931471332907677,0.03931471332907677,10,Approach
false_positive,1185098,TIME_OF_DAY,0.029367487877607346,0.029367487877607346,11,Day
false_positive,1185098,STATE,-0.02703467756509781,0.02703467756509781,12,NJ
false_positive,1185098,TYPE_ENG,-0.022483592852950096,0.022483592852950096,13,D
false_positive,1185098,FAAREGION,0.015638258308172226,0.015638258308172226,14,AEA
false_positive,1185098,SEASON,0.013837466016411781,0.013837466016411781,15,Winter
false_positive,1185098,NUM_ENGS,-0.012064837850630283,0.012064837850630283,16,2.0
false_positive,1185098,WILDLIFE_TYPE,0.0025134121533483267,0.0025134121533483267,17,Bird
false_positive,1185098,SKY,0.0007206070004031062,0.0007206070004031062,18,Some Cloud
false_positive,1185098,MONTH_SIN,-0.0001887284015538171,0.0001887284015538171,19,0.4999999999999999
false_positive,1185098,PRECIPITATION,8.094549411907792e-05,8.094549411907792e-05,20,Not reported
false_negative,1241741,SIZE,-0.4379974901676178,0.4379974901676178,1,Not reported
false_negative,1241741,PHASE_OF_FLIGHT,0.42969179153442383,0.42969179153442383,2,Climb
false_negative,1241741,MONTH_SIN,0.20139218866825104,0.20139218866825104,3,1.0
false_negative,1241741,AC_MASS_GROUP,-0.14592792093753815,0.14592792093753815,4,Heavy
false_negative,1241741,MONTH_COS,0.11387886852025986,0.11387886852025986,5,6.123233995736766e-17
false_negative,1241741,HEIGHT,-0.10328618437051773,0.10328618437051773,6,100.0
false_negative,1241741,NUM_STRUCK,-0.09852154552936554,0.09852154552936554,7,1
false_negative,1241741,TIME_OF_DAY,-0.04596962779760361,0.04596962779760361,8,Day
false_negative,1241741,AIRPORT_ID,0.04103601723909378,0.04103601723909378,9,KLAS
false_negative,1241741,WARNED,-0.038988545536994934,0.038988545536994934,10,Yes
false_negative,1241741,STATE,-0.02976030297577381,0.02976030297577381,11,NV
false_negative,1241741,AC_CLASS,0.022954080253839493,0.022954080253839493,12,A
false_negative,1241741,SPEED,0.022906729951500893,0.022906729951500893,13,150.0
false_negative,1241741,SKY,0.020936401560902596,0.020936401560902596,14,No Cloud
false_negative,1241741,WILDLIFE_TYPE,-0.01648300513625145,0.01648300513625145,15,Bird
false_negative,1241741,FAAREGION,-0.01114173885434866,0.01114173885434866,16,AWP
false_negative,1241741,SEASON,0.006490678526461124,0.006490678526461124,17,Spring
false_negative,1241741,NUM_ENGS,-0.006115979049354792,0.006115979049354792,18,2.0
false_negative,1241741,PRECIPITATION,-0.003988970071077347,0.003988970071077347,19,Not reported
false_negative,1241741,TYPE_ENG,-0.003578321309760213,0.003578321309760213,20,D
