value,count,mean_shap,median_shap,mean_abs_shap
Winter,446,0.017653536,0.016122255,0.018144403
Summer,1744,-0.0024624532,-0.003030919,0.010041004
Autumn,1776,-0.005842166,-0.0044720974,0.009943387
Spring,1034,0.003961982,0.003533203,0.0070406185
