value,count,mean_shap,median_shap,mean_abs_shap
Large,231,1.4239502,1.6373256,1.4239502
Small,3282,-0.949354,-0.986326,0.949354
Medium,527,0.5093576,0.5049852,0.5093575
Not reported,960,-0.35052785,-0.37290412,0.35210505
