value,count,mean_shap,median_shap,mean_abs_shap
Unknown,1588,-3.077433,-3.0727806,3.077433
Light,389,0.86609375,0.8528403,0.86609375
Medium,265,0.2172282,0.20875591,0.2172282
Heavy,2758,-0.1428023,-0.119800754,0.14437747
