AC_CLASS,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
A,223360,19717,203643,8.827453438395414,8.71050740533739,8.945815711913292
Not reported,90825,259,90566,0.2851637764932563,0.25252340130665746,0.32200952326605886
B,4908,929,3979,18.928280358598208,17.85678262953267,20.04838108747319
C,7,3,4,42.857142857142854,15.821692226262684,74.95457695909742
J,4,0,4,0.0,0.0,48.990002040399915
Y,3,0,3,0.0,0.0,56.15060804490177
