WARNED,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Yes,56494,4152,52342,7.349453039260806,7.1371586251906916,7.567547545389812
No,64521,7579,56942,11.746563134483347,11.500394586273249,11.99728665406319
Unknown,198092,9177,188915,4.632695919067908,4.541009036681285,4.726142384431635
