NUM_STRUCK,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
1,283177,16627,266550,5.871592678783941,5.785600304647711,5.958782335113465
2–10,33597,3810,29787,11.340298240914368,11.00564517768304,11.683791267861231
11–100,1595,325,1270,20.37617554858934,18.471666460839266,22.42304130758507
More than 100,57,20,37,35.08771929824561,24.000246078174026,48.05834541185911
Not reported,681,126,555,18.502202643171806,15.765183426014895,21.592593905268714
