WILDLIFE_TYPE,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Bird,252068,17101,234967,6.7842804322643095,6.686764215697756,6.883113872581344
Other wildlife,40600,2244,38356,5.527093596059114,5.308994652320152,5.753607857684713
Terrestrial mammal,19339,1496,17843,7.735663684782048,7.367466949970461,8.120648301927172
Bat,6427,63,6364,0.980239614127898,0.766952628808561,1.2520925922710564
Reptile,673,4,669,0.5943536404160475,0.23136436662848153,1.5181734868367898
