AC_MASS_GROUP,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Light,27849,6804,21045,24.431756975115803,23.930646653621174,24.93992029061478
Medium,36133,3574,32559,9.891235158995931,9.587654488174465,10.203343516476833
Heavy,164180,10356,153824,6.307711048848824,6.191136678488236,6.426330057653723
Unknown,90945,174,90771,0.1913244268513937,0.16494992650010165,0.22190667750968482
