DAY_OF_WEEK,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Monday,46522,2998,43524,6.444262929366751,6.22471426903997,6.671004311577818
Tuesday,46786,3040,43746,6.497670243235156,6.277871404974947,6.7246124504095945
Wednesday,47241,3093,44148,6.547278846764463,6.327732555869933,6.77389164345853
Thursday,47594,3169,44425,6.65840231962012,6.437905547478919,6.885895252765771
Friday,46843,3078,43765,6.570885724654698,6.3500466286510875,6.7988474901788996
Saturday,41767,2793,38974,6.68709746929394,6.451490625567624,6.930671154960158
Sunday,42354,2737,39617,6.462199556122209,6.231976330690911,6.700320011812055
