SKY,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Not reported,167782,6340,161442,3.778712853583817,3.688524852324689,3.8710174064543126
No Cloud,73715,7375,66340,10.004748016007598,9.790211606556316,10.22345285124222
Some Cloud,52085,4692,47393,9.008351732744552,8.765485405361412,9.2572644036879
Overcast,25525,2501,23024,9.798237022526934,9.439547999378089,10.169025230987366
