SIZE,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Small,196704,4011,192693,2.039104441190825,1.977575599000308,2.102506585176329
Medium,71310,8979,62331,12.591501893142617,12.350016679259767,12.837017418199375
Large,19601,6460,13141,32.95750216825672,32.302832067018734,33.618851278793144
Not reported,31492,1458,30034,4.629747237393624,4.403147519603558,4.867414725032572
