TYPE_ENG,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
D,192284,13250,179034,6.89084895259096,6.77848965036138,7.004930757016056
Not reported,91258,312,90946,0.3418878344912227,0.3060492645650506,0.38190704772571515
C,15364,2246,13118,14.618588909138245,14.068785160275093,15.186081704047611
A,15167,4153,11014,27.381815784268476,26.677934087734396,28.097152351768067
F,4613,842,3771,18.25276392802948,17.16461258912059,19.39374800094167
B,413,102,311,24.69733656174334,20.783958996932423,29.077091339694256
E,5,3,2,60.0,23.07199322088371,88.23817688407468
Y,3,0,3,0.0,0.0,56.15060804490177
