field,raw_value,canonical_value
AIRPORT_ID,KACY,KACY
AIRPORT_ID,PHLI,PHLI
AIRPORT_ID,KCVG,KCVG
AIRPORT_ID,KTUL,KTUL
AIRPORT_ID,KPIT,KPIT
AIRPORT_ID,KDSM,KDSM
AIRPORT_ID,KONT,KONT
AIRPORT_ID,KITH,KITH
AIRPORT_ID,KABE,KABE
AIRPORT_ID,KTMB,KTMB
AIRPORT_ID,KRDU,KRDU
AIRPORT_ID,KSAN,KSAN
AIRPORT_ID,KALB,KALB
AIRPORT_ID,KCSG,KCSG
AIRPORT_ID,KORF,KORF
AIRPORT_ID,KHYA,KHYA
AIRPORT_ID,KBFI,KBFI
AIRPORT_ID,KSLC,KSLC
AIRPORT_ID,KBTR,KBTR
AIRPORT_ID,KFMY,KFMY
AIRPORT_ID,KJAN,KJAN
AIRPORT_ID,KBNA,KBNA
AIRPORT_ID,KOAK,KOAK
AIRPORT_ID,KCHO,KCHO
AIRPORT_ID,KEUG,KEUG
AIRPORT_ID,KBOS,KBOS
AIRPORT_ID,KTRI,KTRI
AIRPORT_ID,KMDT,KMDT
AIRPORT_ID,KLAN,KLAN
AIRPORT_ID,KMTH,KMTH
AIRPORT_ID,KBHB,KBHB
AIRPORT_ID,KGRR,KGRR
AIRPORT_ID,KBHM,KBHM
AIRPORT_ID,KTUS,KTUS
AIRPORT_ID,KFLL,KFLL
AIRPORT_ID,KCLT,KCLT
AIRPORT_ID,KMEM,KMEM
AIRPORT_ID,KIDA,KIDA
AIRPORT_ID,KDAB,KDAB
AIRPORT_ID,KMCO,KMCO
AIRPORT_ID,KATL,KATL
AIRPORT_ID,KFSM,KFSM
AIRPORT_ID,KAVL,KAVL
AIRPORT_ID,KCHA,KCHA
AIRPORT_ID,KSQL,KSQL
AIRPORT_ID,KIAH,KIAH
AIRPORT_ID,KDBQ,KDBQ
AIRPORT_ID,KSDF,KSDF
AIRPORT_ID,KGVW,KGVW
AIRPORT_ID,KJWN,KJWN
AIRPORT_ID,CYYC,CYYC
AIRPORT_ID,KPFN,KPFN
AIRPORT_ID,KMKE,KMKE
AIRPORT_ID,KSRQ,KSRQ
AIRPORT_ID,KORL,KORL
AIRPORT_ID,TJSJ,TJSJ
AIRPORT_ID,KISO,KISO
AIRPORT_ID,KRFD,KRFD
AIRPORT_ID,KFXE,KFXE
AIRPORT_ID,KEWR,KEWR
AIRPORT_ID,KAZO,KAZO
AIRPORT_ID,KMLB,KMLB
AIRPORT_ID,KDAY,KDAY
AIRPORT_ID,KPHL,KPHL
