SPECIES,WILDLIFE_TYPE,records
Mugimaki flycatcher,Terrestrial mammal,1
Cuban flower bat,Bat,1
Dark-billed cuckoo,Other wildlife,1
Domestic sheep,Other wildlife,1
Eastern barn owl,Bird,1
Eastern hognose snake,Reptile,1
Naked-rumped tomb bat,Bat,1
Broad-eared bat,Bat,1
Broad-tailed hummingbird,Bird,1
Bronze mannikin,Other wildlife,1
Brown bear,Other wildlife,1
Brown flower bat,Bat,1
Brown-throated parakeet,Other wildlife,1
Brush rabbit,Terrestrial mammal,1
Texas blind snake,Reptile,1
Towhees,Other wildlife,1
Tree pipit,Other wildlife,1
Tropical mockingbird,Bird,1
Eurasian moorhen,Other wildlife,1
Eurasian siskin,Other wildlife,1
European goldfinch,Other wildlife,1
European robin,Other wildlife,1
Marbled murrelet,Other wildlife,1
Mariana kingfisher,Other wildlife,1
Marsh rabbit,Terrestrial mammal,1
Mauritian tomb bat,Bat,1
McKay's bunting,Other wildlife,1
Medium egret,Bird,1
Mitred parakeet,Other wildlife,1
Mohave rattlesnake,Reptile,1
Lesser bulldog bat,Bat,1
Lesser whitethroat,Other wildlife,1
Lilac-crowned parrot,Other wildlife,1
Little owl,Bird,1
Little red flying fox,Terrestrial mammal,1
Little swift,Other wildlife,1
Little tern,Bird,1
Loggerhead kingbird,Bird,1
Magpies,Other wildlife,1
Eastern pine snake,Reptile,1
Eastern racer,Bird,1
Typical owls,Bird,1
Black-crowned sparrow lark,Bird,1
Black-faced bunting,Other wildlife,1
Blue-black grassquit,Other wildlife,1
Vega gull,Bird,1
Virginia's warbler,Other wildlife,1
Wagner's bonneted bat,Bat,1
Wedge-tailed eagle,Bird,1
Western fox snake,Terrestrial mammal,1
Island canary,Other wildlife,1
Kelaart's pipistrelle,Other wildlife,1
Kirtland's warbler,Other wildlife,1
Kites,Bird,1
Kuhl's pipistrelle,Other wildlife,1
Ladder-backed woodpecker,Other wildlife,1
Lanceolated warbler,Other wildlife,1
Lappet-faced vulture,Bird,1
Leschenault's rousette,Other wildlife,1
Florida bonneted bat,Bat,1
Flying foxes,Terrestrial mammal,1
Fox squirrel,Terrestrial mammal,1
Frigatebirds,Bird,1
Garden warbler,Other wildlife,1
Golden-fronted woodpecker,Other wildlife,1
Hooded crow,Other wildlife,1
Horned puffin,Other wildlife,1
Hume's short-toed lark,Bird,1
Gray-headed chickadee,Other wildlife,1
Gray-tailed tattler,Other wildlife,1
Great crested grebe,Other wildlife,1
Greater Antillean grackle,Other wildlife,1
Greater prairie chicken,Other wildlife,1
Greater spotted eagle,Bird,1
Greenish warbler,Other wildlife,1
Grey-headed flying fox,Terrestrial mammal,1
Harlequin duck,Bird,1
Hawaiian petrel,Other wildlife,1
Heermann's gull,Bird,1
Western hognose snake,Reptile,1
Western house-martin,Bird,1
Western marsh harrier,Bird,1
Band-rumped storm-petrel,Other wildlife,1
Bar-tailed godwit,Other wildlife,1
Bats,Bat,1
Bearded seal,Other wildlife,1
Bell's vireo,Other wildlife,1
Black mastiff bat,Bat,1
Black redstart,Other wildlife,1
Western red bat,Bat,1
Angolan free-tailed bat,Bat,1
American red squirrel,Terrestrial mammal,1
