SPECIES,WILDLIFE_TYPE,records
Bay-breasted warbler,Other wildlife,101
Gray-cheeked thrush,Other wildlife,100
American black duck,Bird,100
Northern waterthrush,Other wildlife,98
Western flycatcher,Terrestrial mammal,98
Cave swallow,Bird,97
Magnolia warbler,Other wildlife,96
Boat-tailed grackle,Other wildlife,95
Vaux's swift,Other wildlife,94
Bonaparte's gull,Bird,93
Common raven,Other wildlife,93
Field sparrow,Bird,93
Buff-breasted sandpiper,Bird,92
Mule deer,Terrestrial mammal,92
Chestnut munia,Other wildlife,91
Warbling vireo,Other wildlife,88
Baird's sandpiper,Bird,87
Short-billed gull,Bird,87
Eastern phoebe,Bird,84
Ruby-throated hummingbird,Bird,82
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras",Bird,81
Anhinga,Other wildlife,81
Pectoral sandpiper,Bird,81
Diamondback terrapin,Other wildlife,80
Loggerhead shrike,Other wildlife,80
Black-throated green warbler,Other wildlife,79
Eastern wood-pewee,Bird,79
Yellow-breasted chat,Other wildlife,78
Wrens,Other wildlife,77
"Falcons, kestrels, falconets",Bird,75
Rabbits,Terrestrial mammal,75
Ferruginous hawk,Bird,74
Lark sparrow,Bird,74
Rose-breasted grosbeak,Other wildlife,74
Alder/willow flycatcher complex,Terrestrial mammal,72
Brant,Other wildlife,71
"Pigeons, doves",Bird,71
Bobolink,Other wildlife,71
Thrushes,Other wildlife,69
Herons,Bird,69
Common snapping turtle,Reptile,68
Broad-winged hawk,Bird,68
Pied-billed grebe,Other wildlife,68
Nine-banded armadillo,Other wildlife,66
Painted turtle,Reptile,65
Common ground dove,Bird,65
Marsh wren,Other wildlife,65
Spotted sandpiper,Bird,64
Ring-necked duck,Bird,64
Snowy egret,Bird,63
Cape May warbler,Other wildlife,63
Sharp-shinned hawk,Bird,62
Least flycatcher,Terrestrial mammal,62
Green heron,Bird,62
Brown thrasher,Other wildlife,61
Brewer's sparrow,Bird,61
Violet-green swallow,Bird,60
Shorebirds,Bird,60
Caspian tern,Bird,60
Baltimore oriole,Other wildlife,60
Virginia rail,Other wildlife,60
Chestnut-sided warbler,Other wildlife,59
Pine siskin,Other wildlife,59
Common tern,Bird,59
Common loon,Other wildlife,59
Blue jay,Other wildlife,59
Tyrant (New World) flycatchers,Terrestrial mammal,58
Mallard/American black duck complex,Bird,58
Domestic/feral dog,Terrestrial mammal,58
Dickcissel,Other wildlife,58
Sanderling,Other wildlife,58
"Terns, noddies",Bird,57
Blackburnian warbler,Other wildlife,57
Barred owl,Bird,57
Pine warbler,Other wildlife,57
American tree sparrow,Bird,56
Gopher tortoise,Reptile,56
Green iguana,Other wildlife,54
American oystercatcher,Terrestrial mammal,54
Eastern towhee,Bird,54
Domestic/feral cat,Terrestrial mammal,52
Great crested flycatcher,Terrestrial mammal,52
Blue-headed vireo,Other wildlife,51
Yellow-throated warbler,Other wildlife,49
Muskrat,Other wildlife,48
Cackling goose,Bird,47
Tri-colored bat,Bat,47
Glaucous gull,Bird,47
Yellow-bellied flycatcher,Terrestrial mammal,46
White ibis,Other wildlife,46
Prairie falcon,Bird,45
Unknown terrestrial mammal,Terrestrial mammal,45
Least tern,Bird,45
Cuckoos,Other wildlife,44
Bufflehead,Other wildlife,43
Gray partridge,Other wildlife,43
Ruddy turnstone,Other wildlife,43
Greater sage-grouse,Other wildlife,42
Black-headed grosbeak,Other wildlife,42
Snow goose/Ross's goose complex,Bird,41
Crested caracara,Other wildlife,41
Greater yellowlegs,Bird,41
Foxes,Terrestrial mammal,41
Band-tailed pigeon,Bird,40
Lesser nighthawk,Bird,40
Seminole bat,Bat,40
Western grebe,Bird,40
Townsend's warbler,Other wildlife,40
Mottled duck,Bird,40
Winter wren,Other wildlife,39
Eastern bluebird,Bird,39
