threshold,accuracy,balanced_accuracy,precision,recall,f1,pr_auc,roc_auc,brier,log_loss
0.1,0.41420118343195267,0.5203812914951226,0.39184952978056425,0.9689922480620154,0.5580357142857143,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.15000000000000002,0.4911242603550296,0.5810986239382813,0.4261168384879725,0.9612403100775194,0.5904761904761905,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.20000000000000004,0.5532544378698225,0.62391973591484,0.4576923076923077,0.9224806201550387,0.6118251928020566,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.25000000000000006,0.6301775147928994,0.6727680724008753,0.5092592592592593,0.8527131782945736,0.6376811594202898,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.30000000000000004,0.6804733727810651,0.6986016839138014,0.5586592178770949,0.7751937984496124,0.6493506493506493,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.3500000000000001,0.7218934911242604,0.7202255109231854,0.6174496644295302,0.7131782945736435,0.6618705035971223,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.40000000000000013,0.7366863905325444,0.7143837394755388,0.6666666666666666,0.6201550387596899,0.642570281124498,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.45000000000000007,0.7071005917159763,0.6593041801120136,0.6704545454545454,0.4573643410852713,0.543778801843318,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.5000000000000001,0.6923076923076923,0.6221208412150885,0.711864406779661,0.32558139534883723,0.44680851063829785,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.5500000000000002,0.6775147928994083,0.5908720002967249,0.7631578947368421,0.2248062015503876,0.3473053892215569,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.6000000000000002,0.6597633136094675,0.5616816883646749,0.7916666666666666,0.14728682170542637,0.24836601307189543,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.6500000000000001,0.6479289940828402,0.5417269389117614,0.8571428571428571,0.09302325581395349,0.16783216783216784,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.7000000000000002,0.6301775147928994,0.5169875004636326,0.8333333333333334,0.03875968992248062,0.07407407407407407,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.7500000000000002,0.621301775147929,0.5038759689922481,1.0,0.007751937984496124,0.015384615384615385,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.8000000000000002,0.6183431952662722,0.5,0.0,0.0,0.0,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.8500000000000002,0.6183431952662722,0.5,0.0,0.0,0.0,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
0.9000000000000002,0.6183431952662722,0.5,0.0,0.0,0.0,0.6664000873756428,0.7659396906642929,0.1929538468600117,0.5701141756591358
