model,feature_set,params,mean_pr_auc,std_pr_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_log_loss,std_log_loss
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.545490367239461,0.0313099700792739,0.5915611922774702,0.03994028146001894,0.32536819680048845,0.08291833088360379,0.41474495164876035,0.07512812222240388,0.6091231227084973,0.02839493599808518,0.7207692061996076,0.016456478905034117,0.1910001686415665,0.011035325223607447,0.5636770992059079,0.026508989546523448
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5453192856667539,0.03150366369266993,0.4969147566750074,0.03654367771816187,0.6186215461601361,0.03823972307547669,0.5496724261941701,0.01980745591021022,0.6589244884741875,0.01997420040562718,0.7179578335506918,0.016087791837314982,0.20962380655394597,0.006608590352994742,0.6069590776944578,0.014810569959949888
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5448377704234798,0.02984624514004018,0.5943124381523607,0.03774137170692611,0.3294407828852022,0.0808060355541541,0.41893870100348873,0.0702446487273681,0.6109541557017029,0.02775366166770612,0.7199186115850713,0.01667225310427618,0.19118550229498252,0.011074562836573553,0.564231656474383,0.026809587418161057
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5446494116450562,0.029561453741757695,0.5831973145908784,0.053163226838478295,0.32947431383206693,0.08683963398489512,0.41550811041278424,0.07754500491201076,0.6086689560139951,0.029390411904564408,0.7177834972647945,0.017594640460604258,0.19166248459130109,0.011180097226724478,0.5655300462352401,0.0267458168631942
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5445819590018177,0.029415265617770078,0.5807106171868558,0.04706285458025069,0.32429131498877617,0.08204998359819764,0.41105106188306023,0.07375046077842733,0.6062803945825743,0.027319878321056475,0.7182215362147765,0.018319145342430686,0.19153471424690327,0.011340250959127898,0.5651278593529071,0.027159107641310676
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5443092831162231,0.02768062492348078,0.5840445407562391,0.04925583231946678,0.34648018835368444,0.07845574657455413,0.43057686635709375,0.06610850567127131,0.614331279231925,0.027452707953207423,0.7184985818301858,0.016699115865130156,0.19154967530454417,0.011631743672441595,0.5652484985934778,0.02827183397694191
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5438178810407708,0.035519907973422714,0.49685027344149013,0.03683294450649275,0.6209100928292229,0.03512539453973212,0.550504661415547,0.017107134522806627,0.6594906986245839,0.01382271296014947,0.7183499287064941,0.01401825516740481,0.20954208580954264,0.0058552330335459426,0.6068092704078735,0.01317947660812464
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5437628699551078,0.033334156290091656,0.4964047471662358,0.03558737805697846,0.6121002448869753,0.03766164102101316,0.5467974102558858,0.01880267149148816,0.6569093900064352,0.01759217790825458,0.718680061751839,0.014909039681599252,0.20920647998353478,0.006066692067062032,0.6061059448000121,0.013685895755426038
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5437569698066205,0.03239918695087765,0.5889102879525254,0.03263204040954508,0.3232057453465801,0.08364996077301107,0.4115632076026854,0.07314084746722221,0.6073649389170946,0.026967047982731362,0.7189868318391976,0.016528116794109367,0.19137309797369617,0.010794574433442972,0.5647452693608219,0.02562431416396044
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.543752740532198,0.02512967927737882,0.5785008454262698,0.04128927620740882,0.3640623501710308,0.07243576577734552,0.44262799084027404,0.05456421591873094,0.6181385660895272,0.02279213607726672,0.7149495616826709,0.01977897730660115,0.19290290762871623,0.012591914184555216,0.5698234049759494,0.03178377071341993
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5436075382154759,0.034194971284062035,0.5812098785259499,0.06007293212305023,0.3290539641620782,0.0845951297496765,0.4154076412818851,0.07687364755823428,0.6083731860287098,0.030665377433059,0.7192779975743099,0.014843897719557976,0.19126908231414658,0.010600331136279758,0.5644652331373929,0.02536649823194427
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5434116202194604,0.03225387228563748,0.5846787963357942,0.045076386760642385,0.33981392975907565,0.08192750049287195,0.4250564575449955,0.07171229503470881,0.6123200483941224,0.027722635934779118,0.7186561774619994,0.016368186535979,0.19156959335033327,0.011415802137108159,0.5650585368243427,0.02769191050013777
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5434058273529794,0.03329820824851333,0.5947284651820735,0.03869696971784491,0.3275210482682391,0.08299306386587438,0.41667225903231236,0.0712990217666395,0.6100745819316511,0.027354040651567716,0.7195300073193112,0.015499099435988753,0.19125019243978988,0.01080435552896488,0.5643816310861889,0.02582629287620525
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5433797845410073,0.03081975473372894,0.5816660637913976,0.04922003943783913,0.33844659904182745,0.07137839725231877,0.4238101328265387,0.06072026483276878,0.6108059616483523,0.023388718816241143,0.7183311135654104,0.01837915299961536,0.19170493447550607,0.011587286226070142,0.5652473227922606,0.028095943165977275
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5433101794907356,0.03295665875410901,0.5733818887852257,0.06253520581108327,0.3257196743917527,0.08519093024378757,0.41047977723964973,0.0774282015736049,0.6054605676152424,0.030281449994365883,0.7179377259510515,0.016283803829419595,0.1916540147546079,0.010756093411300956,0.5654541849135359,0.025592360759630527
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5429840851065804,0.032802827050693796,0.49787470105751863,0.037757537325394476,0.6165300207117062,0.04017977301195411,0.5495194314586499,0.023066707185752208,0.658995054916136,0.018599798737063303,0.7195494473759418,0.015007610748277205,0.20901958591230702,0.005924404391864652,0.6057525015290303,0.013444639113330405
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.542875371321922,0.02836777611285007,0.5818154405880446,0.031544737567343294,0.36556885767513336,0.0735643130941558,0.44515778200016687,0.056328525851633324,0.6196937292264294,0.025179340441418507,0.7155918326238166,0.019687633985523038,0.19284062356460344,0.01234859221937948,0.5688055112008371,0.03097182361142252
