target,method,positive_rate,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,brier,log_loss,threshold
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6376811594202898,0.21674876847290642,0.3235294117647059,0.5953127332437678,0.11196558975309334,0.41091845299008073,0.5
ENGINE_DAMAGE,sigmoid,0.175,0.5033647130088225,0.8347771926844458,0.6140350877192983,0.1724137931034483,0.2692307692307692,0.5747126436781609,0.11333769222307401,0.363443143257352,0.5
ENGINE_DAMAGE,raw,0.175,0.5033647130088225,0.8347771926844458,0.5906040268456376,0.43349753694581283,0.5,0.6848783400507539,0.11422103002137372,0.361403986072091,0.5
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.5508474576271186,0.23636363636363636,0.33078880407124683,0.5882383153569595,0.1594100760580499,0.49302888469697126,0.5
FORWARD_COCKPIT_DAMAGE,raw,0.23706896551724138,0.451741791228256,0.7131258346173601,0.5572519083969466,0.26545454545454544,0.35960591133004927,0.5999589111453518,0.1599248163241075,0.4946857499069838,0.5
FORWARD_COCKPIT_DAMAGE,isotonic,0.23706896551724138,0.4058796347810717,0.6980277349768875,0.5590062111801242,0.32727272727272727,0.41284403669724773,0.6235233692860811,0.164555340342862,0.6793836723293187,0.5
FUSELAGE_DAMAGE,sigmoid,0.05603448275862069,0.16359919659369115,0.6988619599578504,0.0,0.0,0.0,0.5,0.05156652593002892,0.20599051848263616,0.5
FUSELAGE_DAMAGE,isotonic,0.05603448275862069,0.14363789020317277,0.6971970495258166,0.25,0.03076923076923077,0.0547945205479452,0.5126448893572182,0.05397311793409854,0.35301253496461754,0.5
FUSELAGE_DAMAGE,raw,0.05603448275862069,0.16359919659369115,0.6988619599578504,0.12547528517110265,0.5076923076923077,0.20121951219512196,0.6488233227959255,0.18893528675221766,0.5660160283010892,0.5
LANDING_GEAR_DAMAGE,raw,0.054310344827586204,0.2425507021243992,0.7142567753324363,0.6153846153846154,0.12698412698412698,0.21052631578947367,0.5612131209214163,0.04700913813527796,0.18804105428773887,0.5
LANDING_GEAR_DAMAGE,sigmoid,0.054310344827586204,0.2425507021243992,0.7142567753324363,0.0,0.0,0.0,0.5,0.047672883027568703,0.1907218089462731,0.5
LANDING_GEAR_DAMAGE,isotonic,0.054310344827586204,0.2092631038433366,0.7002141482542577,0.5333333333333333,0.12698412698412698,0.20512820512820512,0.5603015438931573,0.04872634017688271,0.3572993522760961,0.5
LIGHTS_DAMAGE,isotonic,0.04224137931034483,0.07870914387029897,0.6306875585517735,0.3333333333333333,0.04081632653061224,0.07272727272727272,0.5186079832473043,0.04002918240748627,0.27768074278134264,0.5
LIGHTS_DAMAGE,sigmoid,0.04224137931034483,0.09502289842280327,0.6332776134756333,0.0,0.0,0.0,0.5,0.04050643022887093,0.175696003746037,0.5
LIGHTS_DAMAGE,raw,0.04224137931034483,0.09502289842280327,0.6332776134756333,0.0,0.0,0.0,0.49954995499549953,0.05827272508223038,0.24507962401158515,0.5
PROPELLER_DAMAGE,isotonic,0.022413793103448276,0.3149665411715149,0.8377594627594628,0.6363636363636364,0.2692307692307692,0.3783783783783784,0.6328517161850495,0.017542346883828965,0.23470639011996114,0.5
PROPELLER_DAMAGE,sigmoid,0.022413793103448276,0.4011266582669163,0.9148351648351649,0.0,0.0,0.0,0.5,0.018819320541995817,0.07929174055005066,0.5
PROPELLER_DAMAGE,raw,0.022413793103448276,0.4011266582669163,0.9148351648351649,0.3,0.46153846153846156,0.36363636363636365,0.7184235517568851,0.027719395355016545,0.10230248889196487,0.5
TAIL_DAMAGE,isotonic,0.04224137931034483,0.06461936744863991,0.6236797149102665,0.0,0.0,0.0,0.5,0.040191562330362814,0.1704625880685158,0.5
TAIL_DAMAGE,sigmoid,0.04224137931034483,0.08422659952973754,0.6429489887764286,0.0,0.0,0.0,0.5,0.04029708869623058,0.1734237364308858,0.5
TAIL_DAMAGE,raw,0.04224137931034483,0.08422659952973754,0.6429489887764286,0.05504587155963303,0.6122448979591837,0.10101010101010101,0.5743492716618601,0.24543454944591225,0.6816566836472534,0.5
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.6853146853146853,0.45901639344262296,0.5497896213183731,0.6681166551114889,0.1885078360778037,0.559359255497801,0.5
WING_ROTOR_DAMAGE,isotonic,0.36810344827586206,0.6211864871465274,0.7572438185123535,0.6497326203208557,0.5690866510538641,0.6067415730337079,0.6951845260726346,0.18924989619463897,0.5633194778535693,0.5
WING_ROTOR_DAMAGE,raw,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.5568181818181818,0.6885245901639344,0.6157068062827226,0.6846442868964283,0.20339816447049922,0.5939250804346422,0.5
