target,calibration_method,positive_rate,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,brier,log_loss,threshold
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.30179445350734097,0.9113300492610837,0.4534313725490196,0.7320495596357666,0.11196558975309334,0.41091845299008073,0.1
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.3333333333333333,0.8866995073891626,0.4845222072678331,0.7552619793999105,0.11196558975309334,0.41091845299008073,0.15
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.4486301369863014,0.645320197044335,0.5292929292929293,0.738543066129273,0.11196558975309334,0.41091845299008073,0.2
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.45017182130584193,0.645320197044335,0.5303643724696356,0.7390655321689805,0.11196558975309334,0.41091845299008073,0.25
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.5524861878453039,0.49261083743842365,0.5208333333333334,0.7039856695029109,0.11196558975309334,0.41091845299008073,0.3
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6014492753623188,0.4088669950738916,0.4868035190615836,0.6756978653530378,0.11196558975309334,0.41091845299008073,0.35
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6102941176470589,0.4088669950738916,0.4896755162241888,0.6767427974324526,0.11196558975309334,0.41091845299008073,0.4
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6428571428571429,0.22167487684729065,0.32967032967032966,0.5977757874309598,0.11196558975309334,0.41091845299008073,0.45
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6376811594202898,0.21674876847290642,0.3235294117647059,0.5953127332437678,0.11196558975309334,0.41091845299008073,0.5
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.640625,0.2019704433497537,0.30711610486891383,0.5889685027616062,0.11196558975309334,0.41091845299008073,0.55
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6666666666666666,0.10837438423645321,0.1864406779661017,0.548440065681445,0.11196558975309334,0.41091845299008073,0.6
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6666666666666666,0.10837438423645321,0.1864406779661017,0.548440065681445,0.11196558975309334,0.41091845299008073,0.65
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6666666666666666,0.10837438423645321,0.1864406779661017,0.548440065681445,0.11196558975309334,0.41091845299008073,0.7
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6666666666666666,0.10837438423645321,0.1864406779661017,0.548440065681445,0.11196558975309334,0.41091845299008073,0.75
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.6666666666666666,0.009852216748768473,0.019417475728155338,0.5044036423346768,0.11196558975309334,0.41091845299008073,0.8
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.5,0.0049261083743842365,0.00975609756097561,0.5019405881474848,0.11196558975309334,0.41091845299008073,0.85
ENGINE_DAMAGE,isotonic,0.175,0.48721519792648754,0.8351864148534779,0.5,0.0049261083743842365,0.00975609756097561,0.5019405881474848,0.11196558975309334,0.41091845299008073,0.9
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.3720524017467249,0.9976580796252927,0.5419847328244275,0.5083788351741744,0.1885078360778037,0.559359255497801,0.1
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.3950617283950617,0.9742388758782201,0.5621621621621622,0.5526037489895875,0.1885078360778037,0.559359255497801,0.15
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.44039735099337746,0.9344262295081968,0.5986496624156039,0.6213740970187641,0.1885078360778037,0.559359255497801,0.2
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.47416020671834624,0.8594847775175644,0.611157368859284,0.652116195034362,0.1885078360778037,0.559359255497801,0.25
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.5021398002853067,0.8243559718969555,0.624113475177305,0.6741152301503877,0.1885078360778037,0.559359255497801,0.3
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.5533088235294118,0.7049180327868853,0.619979402677652,0.6867018540469214,0.1885078360778037,0.559359255497801,0.35
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.6036446469248291,0.6206088992974239,0.6120092378752887,0.6916141358697214,0.1885078360778037,0.559359255497801,0.4
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.6647727272727273,0.5480093676814989,0.6007702182284981,0.6935135515078709,0.1885078360778037,0.559359255497801,0.45
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.6853146853146853,0.45901639344262296,0.5497896213183731,0.6681166551114889,0.1885078360778037,0.559359255497801,0.5
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.6981981981981982,0.3629976580796253,0.4776579352850539,0.6357962369525002,0.1885078360778037,0.559359255497801,0.55
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.7514450867052023,0.3044496487119438,0.43333333333333335,0.6228933100312788,0.1885078360778037,0.559359255497801,0.6
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.7830188679245284,0.19437939110070257,0.31144465290806755,0.5815007460278411,0.1885078360778037,0.559359255497801,0.65
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.8125,0.03044496487119438,0.05869074492099323,0.5131760977152697,0.1885078360778037,0.559359255497801,0.7
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.0,0.0,0.0,0.5,0.1885078360778037,0.559359255497801,0.75
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.0,0.0,0.0,0.5,0.1885078360778037,0.559359255497801,0.8
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.0,0.0,0.0,0.5,0.1885078360778037,0.559359255497801,0.85
WING_ROTOR_DAMAGE,sigmoid,0.36810344827586206,0.6451239989270825,0.7603589240585193,0.0,0.0,0.0,0.5,0.1885078360778037,0.559359255497801,0.9
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.2372735116479724,1.0,0.38354253835425384,0.5005649717514125,0.1594100760580499,0.49302888469697126,0.1
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.2791762013729977,0.8872727272727273,0.4247171453437772,0.5877041602465332,0.1594100760580499,0.49302888469697126,0.15
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.3490909090909091,0.6981818181818182,0.46545454545454545,0.6468310220852593,0.1594100760580499,0.49302888469697126,0.2
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.43714285714285717,0.5563636363636364,0.4896,0.6668823831535696,0.1594100760580499,0.49302888469697126,0.25
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.49372384937238495,0.4290909090909091,0.4591439688715953,0.6461838726245506,0.1594100760580499,0.49302888469697126,0.3
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.5333333333333333,0.3781818181818182,0.4425531914893617,0.637678479712378,0.1594100760580499,0.49302888469697126,0.35
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.5621301775147929,0.34545454545454546,0.42792792792792794,0.630919363122753,0.1594100760580499,0.49302888469697126,0.4
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.5563380281690141,0.2872727272727273,0.37889688249400477,0.6080431432973806,0.1594100760580499,0.49302888469697126,0.45
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.5508474576271186,0.23636363636363636,0.33078880407124683,0.5882383153569595,0.1594100760580499,0.49302888469697126,0.5
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.6153846153846154,0.20363636363636364,0.30601092896174864,0.5820441705187468,0.1594100760580499,0.49302888469697126,0.55
FORWARD_COCKPIT_DAMAGE,sigmoid,0.23706896551724138,0.451741791228256,0.7131258346173601,0.6172839506172839,0.18181818181818182,0.2808988764044944,0.5733949666153056,0.1594100760580499,0.49302888469697126,0.6
