mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__gamma,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,param_model__subsample,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_neg_brier,split1_test_neg_brier,split2_test_neg_brier,split3_test_neg_brier,split4_test_neg_brier,mean_test_neg_brier,std_test_neg_brier,rank_test_neg_brier,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
1.633978796005249,0.22057940493757341,0.18248248100280762,0.017565419385285462,0.8436350297118407,0.4753571532049581,0.08741169448864673,7,5,352,0.006071989493441302,0.6745907294787586,4.0,0.9665440364437338,"{'model__colsample_bytree': np.float64(0.8436350297118407), 'model__gamma': np.float64(0.4753571532049581), 'model__learning_rate': np.float64(0.08741169448864673), 'model__max_depth': 7, 'model__min_child_weight': 5, 'model__n_estimators': 352, 'model__reg_alpha': np.float64(0.006071989493441302), 'model__reg_lambda': np.float64(0.6745907294787586), 'model__scale_pos_weight': 4.0, 'model__subsample': np.float64(0.9665440364437338)}",0.42628769953180656,0.4516393243710478,0.49401818789248275,0.44924148024167787,0.4555448557484545,0.4553463095570939,0.021867634034430334,15,0.6636188047687462,0.6834181957047516,0.7304419743284373,0.6894928486026484,0.6756293578460815,0.688520236250133,0.022674500884787605,15,0.36306729264475746,0.37774524158125916,0.40671140939597317,0.3662162162162162,0.36811254396248533,0.3763705407601382,0.01594201580978584,12,0.5110132158590308,0.5958429561200924,0.6615720524017468,0.5969162995594713,0.6108949416342413,0.5952478931149165,0.04846100032999427,9,0.42451967063129004,0.46236559139784944,0.5037406483790524,0.4539363484087102,0.4594001463057791,0.4607924810245363,0.025344355109559975,8,-0.21653518177303868,-0.22480229624942258,-0.21208333250008432,-0.22173029306261338,-0.23200295942890853,-0.2214308126028135,0.006849371716150688,12,-0.6305757462362312,-0.655592955049169,-0.6189609094674604,-0.6471108616598583,-0.6700712667013609,-0.644462347822816,0.018054821132964888,12
2.149162244796753,0.473381526602692,0.18102450370788575,0.01249160053988569,0.9002787529358022,0.35403628889802274,0.020846957895078073,4,4,663,0.0007068974950624604,0.8620446097910766,1.0,0.9043703774069292,"{'model__colsample_bytree': np.float64(0.9002787529358022), 'model__gamma': np.float64(0.35403628889802274), 'model__learning_rate': np.float64(0.020846957895078073), 'model__max_depth': 4, 'model__min_child_weight': 4, 'model__n_estimators': 663, 'model__reg_alpha': np.float64(0.0007068974950624604), 'model__reg_lambda': np.float64(0.8620446097910766), 'model__scale_pos_weight': 1.0, 'model__subsample': np.float64(0.9043703774069292)}",0.45113884532376813,0.48483748061914855,0.5372183699299443,0.47775781659336375,0.4742827429853581,0.48504705109031654,0.028427662992532864,3,0.683885024880829,0.7151379316615447,0.7552203255260023,0.7134565833136192,0.6948626380800668,0.7125125006924123,0.0243425245336773,3,0.5842696629213483,0.6179775280898876,0.6740088105726872,0.59,0.625,0.6182512003167846,0.031960624206037055,1,0.2290748898678414,0.2540415704387991,0.33406113537117904,0.2599118942731278,0.2529182879377432,0.2660015555777381,0.035628590074765695,17,0.3291139240506329,0.36006546644844517,0.4467153284671533,0.36085626911314983,0.3601108033240997,0.37137235828069615,0.0395666399241088,17,-0.1686553688268774,-0.16553777647391685,-0.1571611755380066,-0.1637174289524813,-0.17005857863692958,-0.16502606568564232,0.004523912089341374,1,-0.5181410855372431,-0.5077711505498835,-0.4838240039057496,-0.5034169804376291,-0.520088134143596,-0.5066482709148203,0.013002799489938724,1
1.8710525512695313,0.35413983312555064,0.18534331321716307,0.01000056468624271,0.9029132901220702,0.003533152609858703,0.020951302649963185,5,3,419,0.00015369603110608848,9.243897959491427,4.0,0.864017496054259,"{'model__colsample_bytree': np.float64(0.9029132901220702), 'model__gamma': np.float64(0.003533152609858703), 'model__learning_rate': np.float64(0.020951302649963185), 'model__max_depth': 5, 'model__min_child_weight': 3, 'model__n_estimators': 419, 'model__reg_alpha': np.float64(0.00015369603110608848), 'model__reg_lambda': np.float64(9.243897959491427), 'model__scale_pos_weight': 4.0, 'model__subsample': np.float64(0.864017496054259)}",0.4540865528359711,0.4872222139210882,0.5374741895792766,0.48341335039021627,0.4633563900251999,0.4851105393503504,0.028931029146097655,2,0.6831730113573293,0.7158689603753343,0.7509891491332539,0.7189504037646337,0.692913195623221,0.7123789440507544,0.02357122864666387,4,0.35661764705882354,0.367561260210035,0.37486800422386485,0.35394456289978676,0.34502369668246446,0.3596030342149949,0.010486568431517983,15,0.6409691629955947,0.7274826789838337,0.7751091703056768,0.7312775330396476,0.708171206225681,0.7166019503100867,0.04369955088856679,6,0.4582677165354331,0.4883720930232558,0.505338078291815,0.47701149425287354,0.4639898024219248,0.4785958369050604,0.016969393158272603,2,-0.2307330336363304,-0.2392626396514512,-0.23522828022345438,-0.23626276329930562,-0.24336323759195097,-0.23696999088049847,0.00420863884006434,15,-0.6569185898112918,-0.6781335429761949,-0.6695743008997362,-0.6714661532802596,-0.6874547018136924,-0.672709457756235,0.010075410143282861,15
1.6701189517974853,0.3096327584758629,0.14646310806274415,0.005609630242914276,0.9462939903482535,0.09983689107917987,0.05636592429685256,3,3,556,0.05262961031076742,1.9278935225635085,2.0,0.9872213843133333,"{'model__colsample_bytree': np.float64(0.9462939903482535), 'model__gamma': np.float64(0.09983689107917987), 'model__learning_rate': np.float64(0.05636592429685256), 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 556, 'model__reg_alpha': np.float64(0.05262961031076742), 'model__reg_lambda': np.float64(1.9278935225635085), 'model__scale_pos_weight': 2.0, 'model__subsample': np.float64(0.9872213843133333)}",0.44697472615241796,0.47889816360415066,0.5397264432220632,0.48695187153552866,0.4716331025189011,0.4848368614066123,0.030530273913219903,4,0.6828923289661055,0.7138431743376188,0.7527689559348949,0.7101686029040364,0.6938121849946465,0.7106970494274604,0.02382613607657498,6,0.45663265306122447,0.49747474747474746,0.5042735042735043,0.48826291079812206,0.47096774193548385,0.48352231150861635,0.017483859418115928,6,0.394273127753304,0.45496535796766746,0.5152838427947598,0.4581497797356828,0.4260700389105058,0.4497484294323839,0.04007708749130847,12,0.4231678486997636,0.4752714113389626,0.509719222462203,0.4727272727272727,0.4473953013278856,0.4656562113112175,0.029061048582722526,6,-0.18409958344343236,-0.18423509638171012,-0.17659888527449658,-0.18272712924483428,-0.18856486691514804,-0.18324511225192425,0.003858772310006326,6,-0.5505117019664791,-0.5526241706759929,-0.5321363182914101,-0.548468994266795,-0.5628399487336906,-0.5493162267868735,0.009910900744422912,6
3.2898900508880615,0.5335622075063068,0.3002009868621826,0.03335517085968638,0.9914080082686398,0.40419867405823057,0.03694755509074355,7,2,589,0.0009206654892274767,3.8718305057994216,8.0,0.8737942275278175,"{'model__colsample_bytree': np.float64(0.9914080082686398), 'model__gamma': np.float64(0.40419867405823057), 'model__learning_rate': np.float64(0.03694755509074355), 'model__max_depth': 7, 'model__min_child_weight': 2, 'model__n_estimators': 589, 'model__reg_alpha': np.float64(0.0009206654892274767), 'model__reg_lambda': np.float64(3.8718305057994216), 'model__scale_pos_weight': 8.0, 'model__subsample': np.float64(0.8737942275278175)}",0.429476772545951,0.4601960155279623,0.5046574855836627,0.457787128175308,0.45331139406747034,0.4610857591800709,0.024371035025215912,13,0.6649064550606876,0.6891227655434524,0.7306603149397909,0.6913726079423028,0.6742779359151803,0.6900680158802828,0.022506714419331077,14,0.3311036789297659,0.34213305174234426,0.35402521823472355,0.31767955801104975,0.3149480415667466,0.3319779096969261,0.014727078954239445,19,0.6541850220264317,0.7482678983833718,0.7969432314410481,0.7599118942731278,0.7665369649805448,0.7451690022209048,0.048253914492722406,2,0.4396743153219837,0.46956521739130436,0.49026192075218267,0.44805194805194803,0.44645892351274785,0.45880246500603333,0.018651310605223053,9,-0.2584804382243567,-0.26926654522814314,-0.2618144181481509,-0.2770941913503548,-0.2902480238225893,-0.27138072335471897,0.011410697124915766,18,-0.7345013409191411,-0.7642533509206502,-0.7403016934194215,-0.7808057764496402,-0.811482709809134,-0.7662689743035973,0.0280825406257575,18
2.1318010807037355,0.46789653509337215,0.21341171264648437,0.025377215651206313,0.7585971302788046,0.45466020103939103,0.03368824084567454,6,2,639,0.0006788387912421225,2.7388305239120823,1.0,0.9923961569411397,"{'model__colsample_bytree': np.float64(0.7585971302788046), 'model__gamma': np.float64(0.45466020103939103), 'model__learning_rate': np.float64(0.03368824084567454), 'model__max_depth': 6, 'model__min_child_weight': 2, 'model__n_estimators': 639, 'model__reg_alpha': np.float64(0.0006788387912421225), 'model__reg_lambda': np.float64(2.7388305239120823), 'model__scale_pos_weight': 1.0, 'model__subsample': np.float64(0.9923961569411397)}",0.4461313001259777,0.4848968450846244,0.5288730375208578,0.48039607458859745,0.4723381704443676,0.48252708555288504,0.02678272360950573,7,0.6786186620488863,0.7130685021185286,0.7499569935159455,0.7119604483289963,0.6923843783459118,0.7091977968716536,0.024090252146051653,9,0.5738636363636364,0.6010928961748634,0.6605504587155964,0.5933014354066986,0.5981308411214953,0.6053878535564581,0.02916807045261974,3,0.22246696035242292,0.2540415704387991,0.314410480349345,0.27312775330396477,0.2490272373540856,0.2626148003597235,0.030539436282145505,20,0.32063492063492066,0.35714285714285715,0.4260355029585799,0.3740573152337858,0.3516483516483517,0.36590378952369906,0.034674327326679764,20,-0.1699965633916704,-0.16606052882154584,-0.1591883303678414,-0.16404599424681374,-0.17070808630477005,-0.1659999006265283,0.004203789741336315,3,-0.5224330262542694,-0.5091572814293707,-0.48876574383002874,-0.5052523609803555,-0.5233112640416229,-0.5097839353071294,0.012693938383415317,3
2.1744646549224855,0.35927654973789797,0.22985434532165527,0.029754438152386452,0.9437832058402786,0.46974947078209456,0.12135529978839235,6,1,439,0.0020013420622879987,1.6019568611465231,2.0,0.8849230330972699,"{'model__colsample_bytree': np.float64(0.9437832058402786), 'model__gamma': np.float64(0.46974947078209456), 'model__learning_rate': np.float64(0.12135529978839235), 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__n_estimators': 439, 'model__reg_alpha': np.float64(0.0020013420622879987), 'model__reg_lambda': np.float64(1.6019568611465231), 'model__scale_pos_weight': 2.0, 'model__subsample': np.float64(0.8849230330972699)}",0.41614338608635226,0.4317062108889037,0.4778992346170953,0.44058456340567814,0.429916569627623,0.4392499929251305,0.020849372552639987,19,0.6626308661826877,0.6739821061628267,0.7177864893476248,0.674777657717563,0.6596786618964301,0.6777711562614266,0.02088593570897406,19,0.42278481012658226,0.44191919191919193,0.48372093023255813,0.45843828715365237,0.4270833333333333,0.4467893105530636,0.02230651394731749,8,0.36784140969163,0.40415704387990764,0.45414847161572053,0.4008810572687225,0.39883268482490275,0.40517213345617664,0.02775570927555565,15,0.3934040047114252,0.4221954161640531,0.46846846846846846,0.42773207990599293,0.4124748490945674,0.4248549636689014,0.024738305713579607,15,-0.19297771091359991,-0.19647364257806116,-0.18303197839782703,-0.19059711421442652,-0.19946236026496028,-0.19250856127377497,0.005617055178816728,8,-0.5889273041611288,-0.6019093404537822,-0.5523179960441651,-0.5840546165656216,-0.6033878451617715,-0.5861194204772938,0.0184510378224722,8
2.3817936897277834,0.18676939379755061,0.2522036075592041,0.017951732145772635,0.8966877914159621,0.482627653632069,0.06795511493804139,7,1,406,0.16172900811143134,0.6251188975400557,4.0,0.8558503701765924,"{'model__colsample_bytree': np.float64(0.8966877914159621), 'model__gamma': np.float64(0.482627653632069), 'model__learning_rate': np.float64(0.06795511493804139), 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 406, 'model__reg_alpha': np.float64(0.16172900811143134), 'model__reg_lambda': np.float64(0.6251188975400557), 'model__scale_pos_weight': 4.0, 'model__subsample': np.float64(0.8558503701765924)}",0.40888432156465565,0.44090041679222813,0.4845505854906689,0.44956650790520786,0.4530415368340691,0.4473886737173659,0.02425855775778598,18,0.6554790154232596,0.6753496026622537,0.7144187508270478,0.6814782964521141,0.6716664925704438,0.6796784315870238,0.019383864236852986,18,0.3759124087591241,0.391304347826087,0.41590214067278286,0.3948170731707317,0.3902759526938239,0.39364238462450996,0.01286878359994553,11,0.45374449339207046,0.5404157043879908,0.5938864628820961,0.5704845814977973,0.5778210116731517,0.5472704507666213,0.049878607586017275,11,0.4111776447105788,0.4539282250242483,0.4892086330935252,0.4666666666666667,0.46588235294117647,0.4573727044872391,0.025761079894161872,11,-0.21058941147563479,-0.2146891361456356,-0.20531883137096096,-0.21373018741537178,-0.22401000123946,-0.2136675135294126,0.006118658330953948,11,-0.6236404065844598,-0.637892241542753,-0.6017798639303685,-0.6300971408355103,-0.6535374416129345,-0.6293894189012053,0.01703681033762981,11
2.4461718559265138,0.37951705383328,0.2576256275177002,0.035588821766202,0.8487203795438925,0.14674408735901906,0.020575514470072775,5,1,641,0.08241925264876443,5.039829683935365,1.0,0.9815752196283373,"{'model__colsample_bytree': np.float64(0.8487203795438925), 'model__gamma': np.float64(0.14674408735901906), 'model__learning_rate': np.float64(0.020575514470072775), 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 641, 'model__reg_alpha': np.float64(0.08241925264876443), 'model__reg_lambda': np.float64(5.039829683935365), 'model__scale_pos_weight': 1.0, 'model__subsample': np.float64(0.9815752196283373)}",0.4462897896192637,0.4891158230346333,0.5354133463720043,0.48496003279499506,0.4736175442730545,0.48587930721879014,0.02892273109243051,1,0.6830651785742603,0.7143996290302049,0.7518856689162366,0.7162506473660991,0.6952177943749511,0.7121637836523504,0.023381295937420384,5,0.5664739884393064,0.5989583333333334,0.6711111111111111,0.592964824120603,0.6190476190476191,0.6097111752103946,0.03499325510801003,2,0.21585903083700442,0.26558891454965355,0.3296943231441048,0.2599118942731278,0.2529182879377432,0.26479449014832673,0.03680266982827894,19,0.31259968102073366,0.368,0.44216691068814057,0.3614088820826952,0.35911602209944754,0.3686582991782034,0.041689632029377,18,-0.1693042546566864,-0.1657259420658585,-0.15836961293568896,-0.1625193330769331,-0.16997730879249381,-0.16517929030553216,0.0043308710159947715,2,-0.5201774366869479,-0.5084325342578316,-0.4868167417324724,-0.5003484588071824,-0.5208164453517569,-0.5073183233672383,0.01278820878699818,2
1.618068027496338,0.2995733622891649,0.19814372062683105,0.02618075278773321,0.9127692563754861,0.4574798377718904,0.11088321956712738,6,2,282,0.00017956984225677631,1.2693089228250278,8.0,0.9164805891543741,"{'model__colsample_bytree': np.float64(0.9127692563754861), 'model__gamma': np.float64(0.4574798377718904), 'model__learning_rate': np.float64(0.11088321956712738), 'model__max_depth': 6, 'model__min_child_weight': 2, 'model__n_estimators': 282, 'model__reg_alpha': np.float64(0.00017956984225677631), 'model__reg_lambda': np.float64(1.2693089228250278), 'model__scale_pos_weight': 8.0, 'model__subsample': np.float64(0.9164805891543741)}",0.42114841508273004,0.4473616362709686,0.4945828041607737,0.4595463595162288,0.4481216505214284,0.45415217311042594,0.023813692747346148,16,0.6538298081527927,0.6771935407612155,0.7209540823077941,0.6875043956957347,0.6635501266550021,0.6806063907145077,0.023216665358244702,17,0.3275862068965517,0.3425827107790822,0.3530571992110454,0.3336448598130841,0.31122031122031124,0.33361825758401487,0.014115864955090167,18,0.6277533039647577,0.7413394919168591,0.7816593886462883,0.7863436123348018,0.7392996108949417,0.7352790815515297,0.05722482899224294,3,0.43051359516616317,0.4686131386861314,0.48641304347826086,0.468503937007874,0.43804034582132567,0.45841681203195106,0.020896382602766113,10,-0.26217784108913816,-0.272675685378541,-0.2603184747340374,-0.2750893870163871,-0.2928182603800252,-0.2726159297196257,0.011614101938852393,19,-0.7488912236826293,-0.7787802538851962,-0.737628367228832,-0.7795230466452759,-0.8231131085082602,-0.7735871999900387,0.02972523035453994,19
