candidate,target,model_family,feature_set,best_params,artifact,file_size_mb
FORWARD_COCKPIT_DAMAGE__xgboost__extended_geographic,FORWARD_COCKPIT_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8487203795438925, ""model__gamma"": 0.14674408735901906, ""model__learning_rate"": 0.020575514470072775, ""model__max_depth"": 5, ""model__min_child_weight"": 1, ""model__n_estimators"": 641, ""model__reg_alpha"": 0.08241925264876443, ""model__reg_lambda"": 5.039829683935365, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.9815752196283373}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\forward_cockpit_damage__xgboost__extended_geographic__uncalibrated.joblib,1.4011735916137695
FUSELAGE_DAMAGE__logistic__airport_aware,FUSELAGE_DAMAGE,logistic,airport_aware,"{""model__C"": 0.04203965712872512, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\fuselage_damage__logistic__airport_aware__uncalibrated.joblib,0.05094337463378906
FUSELAGE_DAMAGE__logistic__extended_geographic,FUSELAGE_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.04203965712872512, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\fuselage_damage__logistic__extended_geographic__uncalibrated.joblib,0.011960983276367188
FUSELAGE_DAMAGE__random_forest__airport_aware,FUSELAGE_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 14, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 11, ""model__n_estimators"": 302}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\fuselage_damage__random_forest__airport_aware__uncalibrated.joblib,7.136874198913574
FUSELAGE_DAMAGE__random_forest__extended_geographic,FUSELAGE_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 14, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 11, ""model__n_estimators"": 302}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\fuselage_damage__random_forest__extended_geographic__uncalibrated.joblib,9.192008018493652
FUSELAGE_DAMAGE__xgboost__airport_aware,FUSELAGE_DAMAGE,xgboost,airport_aware,"{""model__colsample_bytree"": 0.8796976554358416, ""model__gamma"": 0.3515094794475889, ""model__learning_rate"": 0.041612918409360634, ""model__max_depth"": 3, ""model__min_child_weight"": 2, ""model__n_estimators"": 301, ""model__reg_alpha"": 0.0009716374629919691, ""model__reg_lambda"": 4.026083236728187, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.8252195774541924}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\fuselage_damage__xgboost__airport_aware__uncalibrated.joblib,0.37885189056396484
FUSELAGE_DAMAGE__xgboost__extended_geographic,FUSELAGE_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8796976554358416, ""model__gamma"": 0.3515094794475889, ""model__learning_rate"": 0.041612918409360634, ""model__max_depth"": 3, ""model__min_child_weight"": 2, ""model__n_estimators"": 301, ""model__reg_alpha"": 0.0009716374629919691, ""model__reg_lambda"": 4.026083236728187, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.8252195774541924}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\fuselage_damage__xgboost__extended_geographic__uncalibrated.joblib,0.3454732894897461
LANDING_GEAR_DAMAGE__logistic__airport_aware,LANDING_GEAR_DAMAGE,logistic,airport_aware,"{""model__C"": 2.1079155721315948, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\landing_gear_damage__logistic__airport_aware__uncalibrated.joblib,0.05092811584472656
LANDING_GEAR_DAMAGE__logistic__extended_geographic,LANDING_GEAR_DAMAGE,logistic,extended_geographic,"{""model__C"": 2.1079155721315948, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\landing_gear_damage__logistic__extended_geographic__uncalibrated.joblib,0.011960983276367188
LANDING_GEAR_DAMAGE__random_forest__airport_aware,LANDING_GEAR_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 270}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\landing_gear_damage__random_forest__airport_aware__uncalibrated.joblib,20.949389457702637
