mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__penalty,param_model__solver,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_neg_brier,split1_test_neg_brier,split2_test_neg_brier,split3_test_neg_brier,split4_test_neg_brier,mean_test_neg_brier,std_test_neg_brier,rank_test_neg_brier,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
38.3095899105072,8.971840872181657,0.10134267807006836,0.017485410849926455,0.2642655549805391,,l1,saga,"{'model__C': np.float64(0.2642655549805391), 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.4477004001938801,0.48679761697998936,0.5260776895212167,0.461970154287022,0.4699733576021612,0.4785038437168539,0.02693340562181369,2,0.674923803452552,0.7107744903711516,0.7478248643641656,0.7108503353516238,0.6889059358107227,0.7066558858700431,0.024703954668831563,6,0.6214285714285714,0.6075949367088608,0.6578947368421053,0.6048780487804878,0.6102564102564103,0.6204105408032872,0.019568882047459886,4,0.19162995594713655,0.22170900692840648,0.32751091703056767,0.27312775330396477,0.23151750972762647,0.24909902858754043,0.047091020933415335,6,0.29292929292929293,0.3248730964467005,0.43731778425655976,0.37632776934749623,0.33568406205923834,0.35342640100785755,0.049703558693131526,6,-0.16861171793807214,-0.16682488564380557,-0.15841516410884196,-0.16443321310345535,-0.17072848709998503,-0.165802693578832,0.004234383183509537,3,-0.5187518952680533,-0.5108365153043988,-0.4893172118055116,-0.505238504145677,-0.5219139557908307,-0.5092116164628943,0.011546251326592918,3
9.337337160110474,0.8397557721810549,0.09555573463439941,0.00529928488392091,2.1079155721315948,,l1,saga,"{'model__C': np.float64(2.1079155721315948), 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.44488093237301085,0.48687339259590584,0.5320499314601236,0.4608734516706201,0.4676542534507685,0.4784663923100858,0.02998756524925356,3,0.6713201269889599,0.7092005964612391,0.7521619028715099,0.7045596951465125,0.686893818713603,0.704827228036365,0.027218017405808512,9,0.6137931034482759,0.608433734939759,0.6636363636363637,0.6048780487804878,0.6063829787234043,0.6194248459056582,0.022310889492012168,5,0.1960352422907489,0.23325635103926096,0.31877729257641924,0.27312775330396477,0.22178988326848248,0.24859730449577527,0.04299703876963632,8,0.29716193656093487,0.337228714524207,0.4306784660766962,0.37632776934749623,0.3247863247863248,0.3532366422591318,0.046347563388405136,7,-0.16953651118462126,-0.1668936857801107,-0.15712984526940035,-0.1655148992208509,-0.17145341296377903,-0.16610567088375244,0.004937700570475731,5,-0.521716306921022,-0.5112929712494764,-0.4857461219673113,-0.5088918758074965,-0.5250385116618694,-0.5105371575214352,0.013806783139892666,5
26.735864686965943,4.617089009621349,0.09983024597167969,0.013077661430372457,0.07425699434260344,,l1,saga,"{'model__C': np.float64(0.07425699434260344), 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.44644035213522293,0.48327095941734666,0.5227666183104414,0.46120206783662465,0.4697161362752874,0.4766792267949846,0.02596118339121051,7,0.6761718093389533,0.7138031677910931,0.7459557364033347,0.7179441890500822,0.6903957642388948,0.7088541333644717,0.024052013207470926,2,0.631578947368421,0.6078431372549019,0.6533333333333333,0.6134020618556701,0.6302083333333334,0.6272731626291319,0.015976362722013845,1,0.18502202643171806,0.21478060046189376,0.32096069868995636,0.2621145374449339,0.23540856031128404,0.24365728466795722,0.04616597416325007,9,0.28620102214650767,0.3174061433447099,0.43045387994143486,0.36728395061728397,0.34277620396600567,0.3488242400031884,0.0488866075416934,9,-0.1683396430209319,-0.16687415605530037,-0.15910851648146554,-0.1634823809022779,-0.17025929196839779,-0.16561279768567472,0.003936012428659858,1,-0.5170518544825725,-0.510369430589267,-0.49120365694444296,-0.5018704999941124,-0.51950878074766,-0.508000844551611,0.010389323481194831,1
13.306352376937866,0.9920892437827746,0.11703166961669922,0.03241000630703934,0.04203965712872512,balanced,l1,saga,"{'model__C': np.float64(0.04203965712872512), 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'saga'}",0.43827938036067127,0.4750457085940847,0.522293845558017,0.45782586042870865,0.47007896168167307,0.4727047513246309,0.02784938304297999,10,0.6755700072628552,0.7140050190031096,0.7464933174540163,0.7200613159594126,0.6898486668581725,0.7091956653075133,0.024646696860370878,1,0.367816091954023,0.39667128987517336,0.40428211586901763,0.38701298701298703,0.3754601226993865,0.3862485214821175,0.013345958501642437,6,0.5638766519823789,0.6605080831408776,0.7008733624454149,0.6563876651982379,0.5953307392996109,0.635395300413304,0.04915036922279654,5,0.44521739130434784,0.49566724436741766,0.512779552715655,0.4869281045751634,0.4604966139954853,0.48021778139161386,0.024322561727558534,1,-0.2242818621143497,-0.2281421630017966,-0.22412747532154467,-0.22412793165274325,-0.2247557002997128,-0.22508702647802942,0.0015448318467481046,6,-0.6435274672048977,-0.6533702240417141,-0.6454778852446214,-0.6469683900048825,-0.6449020124835657,-0.6468491957959362,0.0034422060645557867,6
5.362931823730468,1.7187776897499054,0.0927708625793457,0.0030807355589158626,0.9855111479503338,balanced,l1,saga,"{'model__C': np.float64(0.9855111479503338), 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'saga'}",0.4445084057925007,0.48593172779652183,0.5304507412019221,0.4588812340034353,0.46678777127994375,0.47731197601486475,0.029747449780142755,4,0.6727021309660866,0.7111536433234529,0.7521834061135372,0.7051111551568703,0.68674888360797,0.7055798438335834,0.026976760344513868,8,0.3507853403141361,0.3826530612244898,0.40613496932515336,0.3620474406991261,0.3755868544600939,0.37544153320459983,0.018875613036044143,9,0.5903083700440529,0.6928406466512702,0.722707423580786,0.6387665198237885,0.622568093385214,0.6534382106970223,0.047967437391335854,1,0.4400656814449918,0.4930156121610518,0.5200314218381775,0.46215139442231074,0.4685212298682284,0.47675706794695205,0.027438740991774565,2,-0.22748435509973464,-0.23092877131306505,-0.21903084134495843,-0.2242018463981175,-0.22498032207534305,-0.22532522724624374,0.003925857286700033,8,-0.6513251073522714,-0.6610128379283355,-0.6358705771897576,-0.6476816685286387,-0.6473768413312196,-0.6486534064660445,0.008073018632031977,8
0.6504869937896729,0.21212177352458014,0.1059718132019043,0.010726977077072576,0.03381064360280394,balanced,l2,saga,"{'model__C': np.float64(0.03381064360280394), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}",0.43780208728051234,0.4752883381607888,0.526564644020774,0.4586763655374232,0.4667353065164377,0.47301334830318725,0.0295218991197841,9,0.6730985750214873,0.7113009401538433,0.7492606192933704,0.7129019264336363,0.6890665395764239,0.7071257200957521,0.025729855637059065,4,0.35838926174496644,0.3836150845253576,0.3978234582829504,0.36855345911949683,0.3735224586288416,0.3763807444603226,0.013455521515376464,8,0.5881057268722467,0.6812933025404158,0.7183406113537117,0.6453744493392071,0.6147859922178989,0.649580016464696,0.04634900456804179,4,0.445371142618849,0.4908485856905158,0.5120622568093385,0.4691753402722178,0.4647058823529412,0.47643264154877246,0.022944676715714055,5,-0.2269340566479798,-0.2305118593570231,-0.2224938243867436,-0.22415934279179464,-0.22499547705833306,-0.22581891204837481,0.0027479346854508975,9,-0.6493950671476365,-0.658981266159471,-0.6417566670499448,-0.6463538834737548,-0.6460599731159132,-0.6485093713893442,0.005773902198762058,7
5.092992496490479,1.0769686523581983,0.11387162208557129,0.019375517822734858,3.7780969645397944,balanced,l2,saga,"{'model__C': np.float64(3.7780969645397944), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}",0.4439118697467307,0.4843081333199297,0.5314067156103593,0.4590616634017797,0.4662279969225384,0.47698327580026756,0.030153415897716505,6,0.671698334617812,0.7095515629830336,0.7525506153235411,0.7038707697422684,0.6858988587992583,0.7047140282931826,0.027409846834753622,10,0.351875808538163,0.38223938223938225,0.4042027194066749,0.35785536159601,0.3807285546415981,0.3753803652843657,0.018793441846847298,10,0.5991189427312775,0.6859122401847575,0.7139737991266376,0.6321585903083701,0.6303501945525292,0.6523027533807144,0.04159118980460211,2,0.44335778321108393,0.4909090909090909,0.516179952644041,0.4570063694267516,0.4747252747252747,0.47643569418324844,0.025548611245545184,4,-0.22816932411444982,-0.23120976305963603,-0.2177633377059237,-0.22444871672024044,-0.2250279153217376,-0.22532381138439753,0.004488997153355343,7,-0.6529063608226617,-0.661704069491184,-0.6329810571946848,-0.648356262861523,-0.6477085989362863,-0.648731269861268,0.009327171059727801,9
25.499928760528565,2.3769960174444447,0.07986645698547364,0.0033913634658164237,0.08626678238646635,,l1,saga,"{'model__C': np.float64(0.08626678238646635), 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.4472039560393012,0.4837206641892977,0.5230744975033761,0.4617454861854056,0.4692316921167541,0.4769952592068269,0.0258800215214546,5,0.6760497045698899,0.7139268243894455,0.7462799391292841,0.7169555571184696,0.6904897761993054,0.7087403602812788,0.02410548335660767,3,0.6268656716417911,0.6038961038961039,0.6504424778761062,0.6134020618556701,0.6230366492146597,0.6235285928968662,0.015644274116144934,2,0.18502202643171806,0.21478060046189376,0.32096069868995636,0.2621145374449339,0.23151750972762647,0.2428790745512257,0.046330962604655565,10,0.2857142857142857,0.31686541737649065,0.4298245614035088,0.36728395061728397,0.3375886524822695,0.34745537351876776,0.04903654781206125,10,-0.16836494292147922,-0.16680843519868124,-0.1590103755037622,-0.16360777338869545,-0.17029936818054725,-0.16561817903863307,0.003964334793373759,2,-0.5173161874435214,-0.5102416458679055,-0.49088757378410053,-0.5022731799664579,-0.5196693563184669,-0.5080775886760904,0.01052227827274266,2
12.2243323802948,2.9976632311617997,0.09732770919799805,0.008463461909556881,0.17566593147417067,balanced,l1,saga,"{'model__C': np.float64(0.17566593147417067), 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'saga'}",0.44528089987558295,0.48417103439495746,0.5243643654978479,0.4601892284170919,0.46841590688764995,0.4764842870146261,0.027040218425034856,8,0.6747263743129625,0.7121747194995545,0.7482094415773455,0.7113306650128195,0.6877856266158305,0.7068453654037025,0.025117364339079875,5,0.35618279569892475,0.38663171690694625,0.39904420549581837,0.37182741116751267,0.36997635933806144,0.3767324977214527,0.014749931372470848,7,0.5837004405286343,0.6812933025404158,0.7292576419213974,0.6453744493392071,0.6089494163424124,0.6497150501344134,0.05169683999692489,3,0.44240400667779634,0.49331103678929766,0.5158301158301158,0.4718196457326892,0.4602941176470588,0.4767317845353916,0.025597943074863953,3,-0.22620506914859412,-0.23065170086550124,-0.22466832783434976,-0.2239755596729773,-0.22492563454703549,-0.22608525841369156,0.002394577199977111,10,-0.648063096568903,-0.6600268301150445,-0.6483839176310703,-0.6469325468919519,-0.6464579142279229,-0.6499728610869785,0.005076467213808218,10
30.591175937652586,5.770292280753716,0.07230372428894043,0.006665145370247794,0.3688639064891008,,l1,saga,"{'model__C': np.float64(0.3688639064891008), 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.446752426299972,0.4869930343692236,0.5292755789337621,0.46153956551807745,0.46938875960799664,0.4787898729458064,0.028384680348269322,1,0.6739279359853856,0.7106990234765689,0.750127365356623,0.7090249227955985,0.6883725485075601,0.7064303592243472,0.025756061980960965,7,0.6170212765957447,0.6037735849056604,0.6666666666666666,0.6048780487804878,0.6113989637305699,0.6207477081358259,0.023451238833042932,3,0.19162995594713655,0.22170900692840648,0.32751091703056767,0.27312775330396477,0.22957198443579765,0.24870992352917468,0.047242480664984515,7,0.292436974789916,0.32432432432432434,0.43923865300146414,0.37632776934749623,0.3338048090523338,0.3532265061031069,0.05067477345333549,8,-0.16886948945014557,-0.166791806489553,-0.157802906078199,-0.16466974385187505,-0.17089593370046133,-0.16580597591404678,0.0045078774933112195,4,-0.5195116983163511,-0.5107751724829371,-0.487570041468841,-0.5060650795534365,-0.522671662454019,-0.509318730855117,0.012392823140669945,4
