target,model,feature_set,best_params,mean_cv_pr_auc,std_cv_pr_auc,mean_cv_roc_auc,mean_cv_precision,mean_cv_recall,mean_cv_f1,mean_cv_brier,mean_cv_log_loss,n_iter
ENGINE_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.07425699434260344, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.5277872133790853,0.048722992951611324,0.7731186708965702,0.5763678783705848,0.4500763454779858,0.5025806401439616,0.15606943891757866,0.4776949741960605,10
ENGINE_DAMAGE,logistic,airport_aware,"{""model__C"": 0.07425699434260344, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.5277831466816869,0.04861801060473264,0.7730919470057287,0.5778929242747591,0.44950509240673286,0.5028572330706795,0.15608198992011504,0.4777226736600455,10
WING_ROTOR_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.07425699434260344, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.5128167327670637,0.009241297093242245,0.7119448367973245,0.5994989248741553,0.20553925058563433,0.304160751563796,0.1920030852061654,0.5656224046852572,10
WING_ROTOR_DAMAGE,logistic,airport_aware,"{""model__C"": 0.08626678238646635, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.5130471128005285,0.008994349286997267,0.7124486201855894,0.6001851432364176,0.21432658153576623,0.3132196631857683,0.19194459156906246,0.5654376753786448,10
FORWARD_COCKPIT_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.3688639064891008, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.4787898729458064,0.028384680348269322,0.7064303592243472,0.6207477081358259,0.24870992352917468,0.3532265061031069,0.16580597591404678,0.509318730855117,10
FORWARD_COCKPIT_DAMAGE,logistic,airport_aware,"{""model__C"": 0.3688639064891008, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.4792984573481272,0.027683116281648993,0.7067518151162135,0.6226484643671354,0.2555653591891959,0.3604475855840738,0.1658125887426496,0.5093364756810067,10
LANDING_GEAR_DAMAGE,logistic,extended_geographic,"{""model__C"": 2.1079155721315948, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.32290099500952607,0.05472512679957529,0.7877637697770583,0.5572058652788876,0.1350347907155789,0.21656303860137696,0.049706458352571044,0.19113091267426605,10
LANDING_GEAR_DAMAGE,logistic,airport_aware,"{""model__C"": 2.1079155721315948, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.32442883089895236,0.05365563549516251,0.7871104648201575,0.5566712916712916,0.14656707146165276,0.2316387192989758,0.04971187858503772,0.19154379565549282,10
FUSELAGE_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.04203965712872512, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.12231857663789217,0.023091212617530766,0.66213694671774,0.10864248242129979,0.599196926684879,0.18368254934061762,0.2208517250269372,0.634542636660945,10
FUSELAGE_DAMAGE,logistic,airport_aware,"{""model__C"": 0.04203965712872512, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.12200010822576154,0.02276599613001166,0.661657700302235,0.10882588759053351,0.5940993334631394,0.18370168728995317,0.22015548937519175,0.6329731349660536,10
TAIL_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.03381064360280394, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.09920998432242775,0.012238612231906386,0.657655535841078,0.08012090727424961,0.6160016902790271,0.14172846616967993,0.22931702976375723,0.6476660446740702,10
TAIL_DAMAGE,logistic,airport_aware,"{""model__C"": 0.04203965712872512, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.09892366493879833,0.009571858261245379,0.6653446835129304,0.08045695904580699,0.6431971918171133,0.14296868134154278,0.23298193318534627,0.6561628920321765,10
LIGHTS_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.03381064360280394, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.09922353410336843,0.01640103084851183,0.6287850625978342,0.08181871212379468,0.5576581477309748,0.14263069494046357,0.22616330765602494,0.6426093607737438,10
LIGHTS_DAMAGE,logistic,airport_aware,"{""model__C"": 0.08626678238646635, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.0991492839433568,0.015229789139448629,0.6355486962908835,0.0,0.0,0.0,0.05200775368213447,0.2096023746112595,10
PROPELLER_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.2642655549805391, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.34565090213748667,0.10096853437771836,0.9359330895746278,0.6416666666666667,0.0865579452119831,0.152086836933473,0.023914872142500886,0.08480512659848319,10
PROPELLER_DAMAGE,logistic,airport_aware,"{""model__C"": 0.2642655549805391, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.34567526357417144,0.1011691695510443,0.9357396498275236,0.6416666666666667,0.0865579452119831,0.152086836933473,0.023917038844906164,0.08481898247345677,10
