split,rows,ENGINE_DAMAGE_positive,ENGINE_DAMAGE_rate,FORWARD_COCKPIT_DAMAGE_positive,FORWARD_COCKPIT_DAMAGE_rate,WING_ROTOR_DAMAGE_positive,WING_ROTOR_DAMAGE_rate,PROPELLER_DAMAGE_positive,PROPELLER_DAMAGE_rate,FUSELAGE_DAMAGE_positive,FUSELAGE_DAMAGE_rate,LANDING_GEAR_DAMAGE_positive,LANDING_GEAR_DAMAGE_rate,TAIL_DAMAGE_positive,TAIL_DAMAGE_rate,LIGHTS_DAMAGE_positive,LIGHTS_DAMAGE_rate
train_1990_2018,16737,4936,0.29491545677242037,3971,0.23725876799904402,4842,0.2892991575551174,609,0.03638644918444166,976,0.05831391527752883,1116,0.06667861623946944,850,0.05078568441178228,850,0.05078568441178228
validation_2019_2021,1925,322,0.16727272727272727,463,0.24051948051948052,702,0.36467532467532465,40,0.02077922077922078,113,0.0587012987012987,102,0.052987012987012985,90,0.046753246753246755,72,0.0374025974025974
test_2022_2024_LOCKED,2246,459,0.20436331255565449,536,0.23864648263579696,752,0.3348174532502226,52,0.02315227070347284,120,0.053428317008014245,90,0.04007123775601069,112,0.04986642920747997,109,0.04853072128227961
