mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_neg_brier,split1_test_neg_brier,split2_test_neg_brier,split3_test_neg_brier,split4_test_neg_brier,mean_test_neg_brier,std_test_neg_brier,rank_test_neg_brier,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
21.243816518783568,5.056512705642221,6.72164249420166,3.778685248169966,balanced_subsample,,sqrt,11,9,438,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 11, 'model__min_samples_split': 9, 'model__n_estimators': 438}",0.10838023829879331,0.13485660573517105,0.13676487903775392,0.13066198708424773,0.12788002833429113,0.12770874769805143,0.010153301186180762,3,0.6757478064737071,0.640929845349241,0.7068261463530529,0.675364355691465,0.6687093216521429,0.6735154951039218,0.020990116051839213,2,0.12244897959183673,0.15384615384615385,0.1829787234042553,0.12643678160919541,0.1391941391941392,0.1449809555291161,0.02194304297037459,7,0.24742268041237114,0.24193548387096775,0.3524590163934426,0.2920353982300885,0.2753623188405797,0.28184297954948995,0.03977404738105268,4,0.16382252559726962,0.18808777429467086,0.24089635854341737,0.17647058823529413,0.18491484184914841,0.1908384177039601,0.026399792351912112,2,-0.12274259442869685,-0.13529866117156486,-0.1384127594438655,-0.13975105141236738,-0.14301570637262997,-0.1358441545658249,0.007003444443653003,11,-0.4092355798761382,-0.43907553001292926,-0.4475311255891369,-0.45098081836732984,-0.459354238829294,-0.44123545853496565,0.017271683106595975,11
21.596923780441283,4.661540294425333,6.418302440643311,3.6133893117934903,,18,log2,3,8,580,"{'model__class_weight': None, 'model__max_depth': 18, 'model__max_features': 'log2', 'model__min_samples_leaf': 3, 'model__min_samples_split': 8, 'model__n_estimators': 580}",0.10406685887642494,0.13362540206071571,0.12761834455268403,0.1404614004756955,0.12568647688395673,0.1262916965698954,0.012252619648415801,7,0.6760430320851195,0.6325742098919285,0.6908534291597371,0.6709678913960061,0.6588028333100331,0.6658482791685649,0.019556088238918783,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-0.048918201057119214,-0.06670371862911853,-0.06250794817589356,-0.05631301280223194,-0.0629977136625863,-0.05948811886538992,0.006249895449386428,2,-0.1973062256359173,-0.25815107217163397,-0.23742694437454054,-0.22042519737127889,-0.24220537981483836,-0.2311029638736418,0.0207417007238811,2
24.94465618133545,3.666195658415062,5.702839088439942,3.2079790311040832,balanced_subsample,,sqrt,4,9,401,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 9, 'model__n_estimators': 401}",0.09910563212755912,0.12074894854496473,0.13192550609274722,0.127222503274704,0.12036474519495774,0.11987346704698656,0.011238956961830658,11,0.6600477084588042,0.6281205949049009,0.6963723568543597,0.6720129525809923,0.6525583671186914,0.6618223959835496,0.02246032227063722,11,0.19230769230769232,0.15625,0.1774193548387097,0.175,0.10869565217391304,0.16193453986406303,0.028981743524768375,1,0.10309278350515463,0.08064516129032258,0.09016393442622951,0.12389380530973451,0.07246376811594203,0.09405189052947664,0.01807308078023422,10,0.1342281879194631,0.10638297872340426,0.11956521739130435,0.14507772020725387,0.08695652173913043,0.11844212519611119,0.02047770628113682,10,-0.08215116311213298,-0.09565404991949082,-0.09494794611900477,-0.09548209860960669,-0.1019953218911577,-0.09404611593027859,0.006482909433467019,7,-0.3038997395786774,-0.33848319492579415,-0.3380974910908926,-0.34095623350253956,-0.35806484439662706,-0.33590030069890614,0.017620240373266545,7
23.599625825881958,3.3618376327027417,8.101559114456176,1.838739275484232,balanced_subsample,14,sqrt,2,9,543,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 14, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 9, 'model__n_estimators': 543}",0.1034152386414535,0.12309235012427719,0.1316633722155994,0.1377883461904509,0.12389060574054253,0.1239699825824647,0.011605252730940218,9,0.6660407883704726,0.6346222599031643,0.6931401956125763,0.6758019428871489,0.6709073116175032,0.668102499678173,0.0190746518833517,8,0.17391304347826086,0.14285714285714285,0.19672131147540983,0.12244897959183673,0.143646408839779,0.15591737724848587,0.0261919265469209,3,0.12371134020618557,0.10483870967741936,0.19672131147540983,0.1592920353982301,0.18840579710144928,0.15459383877173885,0.035691307409153814,8,0.14457831325301204,0.12093023255813953,0.19672131147540983,0.13846153846153847,0.16300940438871472,0.15274016002736293,0.025776599173026906,8,-0.09663215702668529,-0.11446845235633116,-0.1222768941634403,-0.12701368922042616,-0.13425368948900077,-0.11892897645117673,0.012872159064508826,10,-0.3480010558647558,-0.39276135061103074,-0.41301477832638145,-0.4243998093845746,-0.4421159032590399,-0.4040585794891565,0.032287497143696005,10
28.380656814575197,9.71569198400421,10.1449453830719,1.03232296008614,balanced,,sqrt,1,13,563,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 13, 'model__n_estimators': 563}",0.08355435077429196,0.10809599636404621,0.12241329772177895,0.125534698487342,0.10300583190124804,0.10852083504974144,0.015075763018038575,16,0.6459683990505545,0.6280541992686266,0.6879528985507246,0.6685585877774174,0.6405276729266663,0.6542123515147978,0.021371575133403382,14,0.125,0.10714285714285714,0.0,0.20689655172413793,0.08823529411764706,0.10545494059692843,0.06647182801547245,13,0.041237113402061855,0.024193548387096774,0.0,0.05309734513274336,0.021739130434782608,0.028053427471336923,0.01812606517174455,13,0.06201550387596899,0.039473684210526314,0.0,0.08450704225352113,0.03488372093023256,0.0441759902540498,0.028301300563366046,13,-0.070177086962525,-0.08223001664397327,-0.07812296113333259,-0.07523220290252314,-0.08266021261523576,-0.07768449605151796,0.004647293778640697,4,-0.30189953629940025,-0.29874000636400105,-0.2894545736431593,-0.2831886626729844,-0.302994054812998,-0.2952553667585086,0.007686735888888935,4
14.204994821548462,5.317568054194277,9.940628337860108,1.2900564662286609,balanced,10,sqrt,1,12,308,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 12, 'model__n_estimators': 308}",0.11061571643825983,0.12609002716232703,0.13811073211489366,0.12645529782064535,0.12606668350161768,0.1254676914075487,0.008742414981726584,8,0.6755411485457186,0.634576293693436,0.703821671814366,0.6667722024020963,0.6749654379669758,0.6711353508845186,0.022172405928992577,5,0.12796208530805686,0.12980769230769232,0.1543859649122807,0.11884057971014493,0.14606741573033707,0.1354127475937024,0.012923394988427787,11,0.27835051546391754,0.21774193548387097,0.36065573770491804,0.36283185840707965,0.37681159420289856,0.319278328252537,0.0614878876022925,2,0.17532467532467533,0.16265060240963855,0.21621621621621623,0.17903930131004367,0.21052631578947367,0.18875142221000948,0.020901275170430052,3,-0.1361316374648368,-0.1530315909946132,-0.16337351182221962,-0.16793201713928066,-0.17100770021933692,-0.1582952915280574,0.012642738954325222,15,-0.4467760170592727,-0.4862377517265295,-0.5099902132483445,-0.5188045592302268,-0.5268521612570343,-0.4977321405042815,0.028882279262267885,15
35.05810389518738,6.369124723402875,9.098337268829345,0.5022750303478206,balanced_subsample,14,0.5,3,13,304,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 14, 'model__max_features': 0.5, 'model__min_samples_leaf': 3, 'model__min_samples_split': 13, 'model__n_estimators': 304}",0.09365600580994449,0.11392886848431036,0.12511754136655687,0.11801459259635895,0.11786541488241573,0.11371648462791728,0.01065963757762472,15,0.6535704585444196,0.6231715663241333,0.6725098004276551,0.6557758935787941,0.6481002531960172,0.6506255944142039,0.015963817123157236,16,0.15254237288135594,0.18055555555555555,0.1686746987951807,0.14285714285714285,0.1368421052631579,0.15629437507047855,0.016216687853547594,2,0.09278350515463918,0.10483870967741936,0.11475409836065574,0.11504424778761062,0.09420289855072464,0.10432469190620992,0.009587442869935712,9,0.11538461538461539,0.1326530612244898,0.13658536585365855,0.12745098039215685,0.11158798283261803,0.12473240113750772,0.009703371919034455,9,-0.07748049424188443,-0.0946277820734861,-0.09497735709568529,-0.09542888897990784,-0.10101970817565441,-0.09270684611332361,0.007964925604571717,6,-0.28576409867526986,-0.3331515865404113,-0.33426187173843563,-0.3376290173438066,-0.35272633203861276,-0.32870658126730723,0.022588645058607727,6
17.21731390953064,2.600843110996735,8.531121826171875,0.8487899838262044,,18,sqrt,3,8,270,"{'model__class_weight': None, 'model__max_depth': 18, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 8, 'model__n_estimators': 270}",0.1006912846510009,0.1373313305364328,0.1266596260054096,0.1300125044097805,0.12164462587043845,0.12326787429461243,0.012386380842734768,10,0.6655684273922131,0.637890968150524,0.6830972321216441,0.6690219153963768,0.6569970641688802,0.6625151214459276,0.014913632731236057,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-0.04920026086375314,-0.06649012159181936,-0.06260365042248787,-0.056359275193196015,-0.06315202691553293,-0.05956106699735786,0.006127999332591067,3,-0.19991911010431138,-0.258359259327746,-0.23847611080954037,-0.22108578782153906,-0.24318985096568893,-0.23220602380576513,0.020050210089134685,3
19.711119365692138,0.8952543467749541,8.241178703308105,0.33956450601170785,,18,log2,4,10,565,"{'model__class_weight': None, 'model__max_depth': 18, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 565}",0.10674003508106719,0.1347907785779394,0.1304937212570046,0.140144806675231,0.12674814867616244,0.12778349805348094,0.011429335266829713,2,0.6784756911231563,0.6354854031747328,0.6982977944088065,0.6684092933224193,0.6618357487922705,0.668500786164277,0.020600034161718624,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-0.048796843224913816,-0.06665864219759554,-0.06241093718897853,-0.05639355514935314,-0.062915807663647,-0.059435157084897605,0.006254182552026958,1,-0.1967041125705482,-0.2574245503817464,-0.23661190419516034,-0.22101825320197155,-0.24154371535924352,-0.23066050714173397,0.020572735121317104,1
11.327514123916625,0.6256596044406761,8.191242122650147,0.08666503180459882,balanced,14,log2,9,11,302,"{'model__class_weight': 'balanced', 'model__max_depth': 14, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 11, 'model__n_estimators': 302}",0.11579850895208488,0.13322200478690388,0.13754945619984976,0.12798746809061898,0.12542829074292355,0.12799714575447624,0.0074020488557931955,1,0.6874210271489472,0.6357356636499213,0.7062123821968797,0.6702626037982568,0.6741576960715783,0.6747578745731166,0.023207938736214784,1,0.1308016877637131,0.14163090128755365,0.14942528735632185,0.1196808510638298,0.13592233009708737,0.13549221151370117,0.010039912837236728,10,0.31958762886597936,0.2661290322580645,0.4262295081967213,0.39823008849557523,0.4057971014492754,0.36319467185312315,0.06056261323250499,1,0.18562874251497005,0.18487394957983194,0.22127659574468084,0.18404907975460122,0.20363636363636364,0.19589294624608952,0.014637892703394549,1,-0.14483867421580388,-0.16145732930452053,-0.1743154176493275,-0.17632998088089263,-0.17865182383778436,-0.16711864517766578,0.012634112971867558,16,-0.46664786488435794,-0.5050444944761125,-0.53391885827911,-0.5376626951733605,-0.5432565647414844,-0.517306095510885,0.028567131742778258,16
