,ENGINE_DAMAGE,FORWARD_COCKPIT_DAMAGE,LANDING_GEAR_DAMAGE,PROPELLER_DAMAGE,WING_ROTOR_DAMAGE
ENGINE_DAMAGE,1.0,-0.00824001708651715,-0.051226064430852536,,0.1008028756917265
FORWARD_COCKPIT_DAMAGE,-0.00824001708651715,1.0,-0.015859036992388803,,0.06666666666666668
LANDING_GEAR_DAMAGE,-0.051226064430852536,-0.015859036992388803,1.0,,-0.041233496180210834
PROPELLER_DAMAGE,,,,,
WING_ROTOR_DAMAGE,0.1008028756917265,0.06666666666666668,-0.041233496180210834,,1.0
