,ENGINE_DAMAGE,FORWARD_COCKPIT_DAMAGE,LANDING_GEAR_DAMAGE,PROPELLER_DAMAGE,WING_ROTOR_DAMAGE
ENGINE_DAMAGE,1.0,-0.27379273088180683,-0.07579742693930427,0.01894862855033784,-0.3154107960376349
FORWARD_COCKPIT_DAMAGE,-0.27379273088180683,1.0,-0.06748382527501158,-0.019378058574611803,-0.2653821904415723
LANDING_GEAR_DAMAGE,-0.07579742693930427,-0.06748382527501158,1.0,0.15824850546190666,-0.04170046501255403
PROPELLER_DAMAGE,0.01894862855033784,-0.019378058574611803,0.15824850546190666,1.0,-0.027393866595016435
WING_ROTOR_DAMAGE,-0.3154107960376349,-0.2653821904415723,-0.04170046501255403,-0.027393866595016435,1.0
