model,pr_auc__airport_aware,pr_auc__extended_geographic,brier_score__airport_aware,brier_score__extended_geographic,log_loss__airport_aware,log_loss__extended_geographic,airport_pr_auc_gain,airport_brier_change
logistic,0.4088592251039039,0.4027621555305999,0.03189131238160924,0.03203075775539642,0.12055581039368038,0.12104400280686897,0.00609706957330397,-0.00013944537378717675
random_forest,0.4331457534858704,0.433108449220349,0.03124226370588102,0.03118574436463511,0.11906643887275234,0.11832192861887049,3.730426552139843e-05,5.6519341245907934e-05
xgboost,0.4495994372455286,0.44817424247946736,0.030521591475459523,0.03058039211392699,0.11517218923629607,0.11527244317606919,0.001425194766061233,-5.880063846746761e-05
