model,feature_set,parameters,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_brier_score,mean_log_loss,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_weighted_f1
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.41149047833071817,0.02715085224376153,0.8733964538552221,0.04513298259788787,0.16483996402707962,0.9443908372936306,0.6011386534930286,0.24614958760459515,0.34899368978786816,0.6599302233462191,0.933302100246269
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.41136640979208206,0.027138284993287378,0.8735086574369607,0.04513796635526925,0.16483679314829813,0.94433668593951,0.5999637182463521,0.2462763973231667,0.3488885231371294,0.6598628355603121,0.9332678426374397
logistic,airport_aware,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.411032464480645,0.0260078074820419,0.8730923015372314,0.04518734004272466,0.16481433569374326,0.9444239101711677,0.5994054466041068,0.2508245708349036,0.3533698571915504,0.6621213857831356,0.9335952748226916
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.41094421636397377,0.02889181599762409,0.8733375787101656,0.045164648138647755,0.1650074313513279,0.944476961932969,0.601141647259464,0.2467016338855088,0.34943478484175583,0.6601730516045741,0.9334516391981553
logistic,airport_aware,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.4100708352903667,0.025533010669398514,0.8730219634775711,0.045225038541379076,0.164884190459293,0.9442931142225228,0.5963959181225278,0.25028939238539005,0.3523091467248611,0.6615564606979867,0.9334667897517892
logistic,airport_aware,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.4100149585150289,0.02524127089790386,0.8730198691548446,0.045227052421787206,0.16489449606647702,0.9443190421971188,0.5975715772818988,0.2509972760609324,0.35321065342805574,0.6620131683137516,0.93351489034687
logistic,airport_aware,"{""model__C"": 5.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.4094688884681189,0.025112491962613323,0.8728135750550685,0.045251882417808455,0.1649496052329105,0.9442968881594291,0.5960361647207175,0.2521770269983129,0.3541180935670796,0.6624593881558629,0.9335688331334003
logistic,airport_aware,"{""model__C"": 5.0, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4092231602720142,0.025382641143865122,0.8726708929400054,0.045278571856999524,0.16504190266858768,0.9442774755289893,0.595815470025882,0.2524436852371024,0.35432305922366386,0.6625565114158916,0.9335650501306828
logistic,airport_aware,"{""model__C"": 5.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.40861290159903574,0.024897726862060172,0.8726970785332732,0.045299426073265696,0.16508702520595148,0.9442427585323212,0.5950655276497677,0.2524438880094421,0.3542055713967757,0.6624884972875094,0.9335339200572532
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4077426498294054,0.027358456470770908,0.874443636339382,0.11992424682187283,0.373799885953261,0.8331466337626274,0.22418913080008301,0.719502841729929,0.3415333194657828,0.6226782207016283,0.8700270811535649
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.40637045629672064,0.026646166852631867,0.874170707219243,0.11967273774469889,0.3729320867300544,0.8322781195559518,0.22333372414650046,0.7195674955978639,0.3405661191926224,0.6219038858773038,0.8694207631030668
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.40631935845490086,0.026675232305665916,0.8741483772606621,0.11969404808515889,0.37297219792744657,0.8321776693527421,0.22323464866295956,0.7197670963962672,0.340467263284642,0.6218242761601596,0.8693585232322443
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4047156362964319,0.02625298144052292,0.8725680591449303,0.045301429341366016,0.16509999082133836,0.9438044190612789,0.5903191019535516,0.24040662961137516,0.34137751686417234,0.6559667367631142,0.9325987576164423
logistic,airport_aware,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.404633414041915,0.02645096241585472,0.8735151275472793,0.11949806432611094,0.37211603255603903,0.8323242603806593,0.2234380318430868,0.7200874395123232,0.34073147967728834,0.6220034943227182,0.8694652892617463
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4045691332825213,0.02887700099349812,0.872094883512051,0.045319806084113456,0.16544875989520394,0.9439334564283159,0.5941993152898843,0.2374989772019565,0.3390157608966142,0.654825104127696,0.9325256734156968
logistic,airport_aware,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.4044471368707999,0.02623641130099592,0.8735313607820521,0.11953935179694768,0.37222545013140984,0.8321936097925355,0.22318855090646889,0.7193107501714556,0.34035603920637486,0.6217737115925125,0.869360680462326
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.40427246162564734,0.025520326805625767,0.8722308828826385,0.045330826049749084,0.16519024118081402,0.9438144080078539,0.5911261920888602,0.24107675499135683,0.34215544690694266,0.656357383683401,0.9326321920434435
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.4041115342349647,0.025725812203087027,0.872278850169047,0.045328740638181604,0.16519502868540617,0.9438008770884145,0.5901954790818106,0.24098449792044616,0.3419021230166518,0.6562271109806085,0.932629782713529
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.40410006035648943,0.02576011947805516,0.8724522278507904,0.04532712266065993,0.16517205859625567,0.9438048144404299,0.5900082158171143,0.24076787014028125,0.34168896539036137,0.6561222330554979,0.932618601157159
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4040567841471616,0.025759314698069604,0.872452810221503,0.045330319722063896,0.16516034749877415,0.943830065072644,0.5903875893565846,0.241657771598535,0.3426456073134285,0.6566065597295416,0.9326794202328156
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.4039454433518975,0.027048697133896925,0.8723040353676286,0.04531523553801333,0.16532372308597904,0.9438057725463016,0.5922842683846621,0.2365334360388764,0.3377960079351525,0.65418088101947,0.9323732554632137
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.4038572922959346,0.025584255550276293,0.8724255649660817,0.04533656536583532,0.16517744355893532,0.943775920550135,0.5892131661035641,0.24165712001233725,0.34244815856263033,0.6564928530234084,0.9326414649574533
logistic,airport_aware,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.4037652435273939,0.02605838727499905,0.8735128133578204,0.11948965064867981,0.3721181215581507,0.8322420310357839,0.2233135316223364,0.71974476734678,0.3405464867760629,0.6218839016185803,0.8693967565741664
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.40371741639288494,0.02726437359583373,0.8722954907948349,0.045335180426978726,0.1653873866481002,0.9437784324507273,0.5916223174001216,0.23697376796202702,0.3381038709009375,0.6543268854510012,0.9323800173567959
logistic,airport_aware,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.4028249603327129,0.02623480601272071,0.8732620429169863,0.11959916009535816,0.3723538946093622,0.8317471750047446,0.22258260293465537,0.7186455209617206,0.33957212472351833,0.6212413025579337,0.8690459007195551
logistic,airport_aware,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4023338439108838,0.026119569518875455,0.8731371438696011,0.11952414871046038,0.37221306936919385,0.832016805035068,0.2228963101070795,0.7188781853523883,0.3399599291692811,0.6215235234122122,0.8692357511386305
logistic,airport_aware,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.4022254062356705,0.026069935763078894,0.8732190843031893,0.11951692734224877,0.37219803551332914,0.832024082774525,0.2227439220061041,0.7178537280749323,0.3396676027676536,0.6213813192810429,0.869224055076361
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4007667140776137,0.027120927415302493,0.8732413209500901,0.119247804297771,0.3724647585694182,0.835286395136392,0.22575495530252793,0.7128347021472767,0.3426220790420317,0.62389677841671,0.871363824284348
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.3995011249163717,0.025208751300135005,0.8730104030203176,0.11938602055530963,0.37252478009520107,0.834083035944501,0.22494855947051864,0.7166058364219551,0.3421059986186644,0.623250019179625,0.8706047547180121
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.3994779741909079,0.02471932991627526,0.8729857063140454,0.11942119408383092,0.372571304081858,0.8336799340620145,0.22459166900813585,0.7172917602032338,0.3417663425387012,0.6229508958063543,0.870341072068511
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.3991990127103353,0.026077439990029736,0.8730033644351707,0.1195524472271465,0.3731560034458353,0.8337143980655399,0.22439049521520085,0.7160889489715341,0.3413878194006891,0.6227812243759283,0.8703565148322129
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.3991813833332598,0.0248382578631233,0.8729376322898779,0.11945790481952076,0.3726777726406787,0.8335956396710718,0.22445239157774485,0.7170524645454047,0.3415797910524828,0.6228321114279269,0.870280924680471
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.399126372762333,0.026129906562501318,0.8729836944398801,0.11952249821536345,0.3730632356995224,0.8337814501403052,0.2244938377372107,0.7161964810379529,0.34151620099867436,0.6228658900646056,0.8704020016390009
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.3991188454550476,0.024844058944529512,0.8729390752787495,0.11945515978479641,0.37268810973973604,0.8335964561797526,0.2244805193639277,0.7171522649446064,0.34162378221212486,0.6228530198348265,0.8702810105414244
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.3989543502205711,0.024752533368094857,0.8728754605388989,0.11944934731758543,0.37265679226643206,0.8336055071522921,0.22440556201861664,0.7166187247343507,0.3414753924193431,0.622783385227709,0.8702804354595151
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.3988973065898825,0.02466300565954155,0.8728833190255676,0.11946241121066115,0.3726889905273586,0.8336017497947339,0.2243818252383219,0.7165046005558352,0.34143611309215943,0.6227627727948815,0.8702759016815083
