model,feature_set,parameters,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_brier_score,mean_log_loss,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_weighted_f1
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4571016135756764,0.02501916042996655,0.8853726401467995,0.0431807514903163,0.1580942064967041,0.9465977567081346,0.6327864485110156,0.28561655207053194,0.3933583878611068,0.6826723870076925,0.9369769674906084
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4568235099642507,0.02568188757266344,0.8856725235616066,0.04326653896346437,0.15773784401964372,0.9462640478202082,0.619284406834913,0.29696603044457215,0.4012407727465604,0.6865104406119211,0.937288602616605
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45678678907364684,0.020946810761096515,0.8857948604250663,0.04338152562273267,0.1577728485482633,0.946309153181916,0.61762316109543,0.30622977113584815,0.4091843993359082,0.6904853206224114,0.9377233478964968
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.45642644759121237,0.025401976158219267,0.8855216155946186,0.04318138161710543,0.15817211506221804,0.9464838066206026,0.6303963096732602,0.2847701140332569,0.3921199785015394,0.6820223413755271,0.9368672726151445
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4564168628084967,0.023767425677890957,0.8855892495580072,0.04321180563245245,0.15796986033705637,0.9464255491550426,0.6269445819566538,0.2905518698089546,0.3969334756605531,0.6844063638542045,0.9371061628058097
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45634474029311445,0.023744408536495218,0.8858205252439092,0.04327600895946106,0.15779880203971247,0.9462161447110855,0.6208742949772594,0.29243890923288257,0.39739815853726923,0.6845802143067813,0.9370426970467104
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45627077530158167,0.024406267724806485,0.8853785991222413,0.04329530919096585,0.15783558489923433,0.9462827509525791,0.6220514775468584,0.293209808462925,0.398322844046078,0.6850586625362209,0.9371437288270859
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.4562649014826411,0.025982077057746453,0.8852642845079112,0.043158258973813826,0.1582866532819837,0.9466294953218931,0.6383065187019664,0.27749844404942026,0.38668124202171505,0.6793484570019206,0.9366224491530375
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4562238117737182,0.022808874113184514,0.8854487870262482,0.04324733842594807,0.157978265512222,0.9461549784503177,0.6230426385694053,0.28854819656452413,0.39424472618786216,0.6829912659028937,0.9367687567226124
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.456164725032804,0.02225638575506993,0.8850592432979274,0.04333256106226556,0.15797511307443066,0.9462549179416955,0.6208254981219995,0.29622866996943104,0.40083494507384493,0.686303876832461,0.9372557516984303
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""balanced""}",0.456118857586879,0.026334763109049586,0.8856467923490973,0.10979894978580651,0.3437122326165233,0.8502822288264742,0.24618034300361624,0.7221647349827137,0.3665296247497543,0.6405948018330015,0.8817063205195174
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45594137414532626,0.022083111790949017,0.8855278081267534,0.043436787254632805,0.15790465035623755,0.9462121862703924,0.613267271284401,0.3099887532368527,0.4116014115942995,0.6916630972192498,0.9378558735529232
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4558079083102462,0.02460134699027687,0.8855889906960239,0.043192405577051986,0.15807189267036412,0.9464236993092385,0.6292509528714285,0.28473395612727853,0.391868699751653,0.6818799058686084,0.9368285083792813
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""balanced""}",0.4557571589904391,0.02625262900051397,0.8859245825140217,0.11031922358247903,0.34525601981776755,0.8500015518400396,0.24624401345666516,0.7250007750966632,0.3669735714229708,0.6407217047730587,0.8815543377219097
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4557335571176885,0.024682386506378617,0.8851587300012698,0.043223799469878,0.15814709126816046,0.9466178974385799,0.6343718879371218,0.28489349025713817,0.3929889445597741,0.6824922232509804,0.9369701636591868
