rule,threshold,precision,recall,f1,f2
maximum_validation_f1,0.7719211578369141,0.4278929188255613,0.5148051948051948,0.467342607875501,0.4947084664536741
maximum_validation_f2_sensitivity,0.5922091603279114,0.286379769299024,0.6706493506493506,0.40136794652572677,0.528751638269987
highest_precision_at_recall_70,0.5546481609344482,0.26333268216448524,0.7002597402597402,0.3827370812038614,0.5257820422809891
highest_precision_at_recall_80,0.4035223126411438,0.17782909930715934,0.8,0.29097779877184693,0.47066014669926654
