model,feature_set,threshold,accuracy,damage_precision,damage_recall,damage_f1,damage_support,macro_f1,weighted_f1
logistic,extended_geographic,0.5,0.9470294558162756,0.5904684975767367,0.23941048034934498,0.34068665527419606,9160,0.6565464576150568,0.9362944802574369
logistic,airport_aware,0.5,0.9475349475786321,0.6007492641156007,0.2450873362445415,0.3481429789873614,9160,0.6604052595654987,0.9369670597380476
random_forest,extended_geographic,0.5,0.949488267598602,0.6609299516908212,0.23897379912663755,0.3510262989095574,9160,0.6623738803448854,0.9381255575621955
random_forest,airport_aware,0.5,0.9493197703444832,0.6841545551222971,0.21069868995633187,0.3221767799015107,9160,0.6479262727315748,0.9364333123124702
xgboost,extended_geographic,0.5,0.9494196205691463,0.6266506602641057,0.2849344978165939,0.3917448405253283,9160,0.6826787558261419,0.9403506308853747
xgboost,airport_aware,0.5,0.9497254118821767,0.6309297912713473,0.2903930131004367,0.3977272727272727,9160,0.6857475584226131,0.9408389147998143
