model,feature_set,params,mean_pr_auc,std_pr_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_log_loss,std_log_loss
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.545490367239461,0.0313099700792739,0.5915611922774702,0.03994028146001894,0.32536819680048845,0.08291833088360379,0.41474495164876035,0.07512812222240388,0.6091231227084973,0.02839493599808518,0.7207692061996076,0.016456478905034117,0.1910001686415665,0.011035325223607447,0.5636770992059079,0.026508989546523448
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5425814663284954,0.035038729396461396,0.5835216908344663,0.07052920350965543,0.3242464590633972,0.08581629479846511,0.41244785702740366,0.08218221510486015,0.60775097342681,0.03312517685223605,0.718204846297759,0.015694829495150164,0.19152472111281613,0.010535625684305917,0.5649491335283541,0.02504688739016134
random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 250}",0.5274612539706844,0.0337245635280958,0.5971566748661192,0.03922879281057487,0.2611297848327857,0.06532690914236053,0.3596797672936979,0.06624731906460372,0.5885862659825647,0.023386324583441673,0.714532523611614,0.013789307081795533,0.1938242595875201,0.010570908745471641,0.5712966200737276,0.023521434247916844
random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 250}",0.5273876183250416,0.03398685459047502,0.5945645748662554,0.04784068229560032,0.23141438041451995,0.07194275797439371,0.3286052930998511,0.07936093157638967,0.57849134904847,0.02676149649747726,0.7145441448980204,0.015498252998298462,0.1942735477208346,0.010699006109069986,0.5726583880868573,0.023787190801675656
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.5141355945475616,0.027646485174291843,0.4815273519402812,0.03841984870613176,0.6060628529903944,0.03208268708693588,0.5348231879968623,0.01068617058366435,0.6461048434686625,0.010984562080640232,0.6921652207989913,0.01249722815117545,0.21910086283664634,0.005279052877842252,0.6292421466351209,0.011345802771442032
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.5116632054825773,0.028587373583516002,0.477316610381125,0.03375380750851302,0.5967282663680645,0.03654178846978139,0.5286119841777392,0.00795963916640632,0.64130065904235,0.01085514299380822,0.6910402282887527,0.01338462883485242,0.21955479837901085,0.005327348570008414,0.6302397782501398,0.011657893493210158
