model,feature_set,params,mean_macro_f1,std_macro_f1,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_weighted_f1,std_weighted_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_brier_multiclass,std_brier_multiclass,mean_macro_average_precision_ovr,std_macro_average_precision_ovr,mean_macro_roc_auc_ovr,std_macro_roc_auc_ovr,mean_precision_S+D,std_precision_S+D,mean_recall_S+D,std_recall_S+D,mean_f1_S+D,std_f1_S+D
logistic,airport_aware,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.409199317307984,0.034811642617464174,0.4240302338693991,0.01647871970918673,0.44300732580308316,0.017905468867072474,0.4426776506724779,0.02048520509463821,0.44300732580308316,0.017905468867072474,1.0560501619840204,0.013584441194352974,0.6414104486753751,0.009998374591715604,0.4245932824777,0.016015985821535468,0.6219940659284616,0.004408306276296659,0.3579375676248879,0.10471730686345782,0.48612450619378433,0.05372499961466918,0.39829461280765466,0.07049504461136773
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.40883998163067464,0.0373785613793937,0.4246002217459991,0.019852363861326952,0.44266902477466613,0.018866158023303287,0.44075057536852136,0.02141983816524968,0.44266902477466613,0.018866158023303287,1.0667379692445933,0.023853708411298958,0.6489580611991161,0.017711082471126894,0.42263100567478257,0.015481712266161143,0.6188265425699283,0.0071277942393315995,0.36014769545760067,0.10765564281379177,0.4791541213923411,0.052867171104458106,0.39691530551757365,0.07356068801012429
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.4086274953394623,0.03803044842626861,0.4242524786985819,0.019898809954698737,0.4423345250753375,0.017371970322518592,0.44066463852989085,0.02282271653715168,0.4423345250753375,0.017371970322518592,1.0600438706714705,0.017381633886509637,0.6446400831894767,0.01336798401774417,0.4249918207653665,0.016214579098824455,0.6209983407556137,0.006177353133210003,0.3603502945957797,0.11029598894527753,0.4815336214458485,0.04968842251552898,0.39781977595159623,0.07713886387330456
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.4085356790791361,0.037955364081929586,0.42437347399839576,0.02006807448288783,0.44226793009790527,0.018182553608021963,0.4405338435876818,0.021722465064224938,0.44226793009790527,0.018182553608021963,1.0652822601264844,0.022759195978178832,0.6482870165979184,0.0171763584919788,0.4229616504741845,0.015338391056403602,0.6190798734856875,0.006965152791993269,0.35912624390838926,0.10860578162263547,0.47862085136476223,0.051675805785364314,0.39604517668102734,0.07513140131867271
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.4084196945978963,0.03756463341629184,0.42412562402494036,0.020128267012460434,0.4420065594490758,0.018142401392604025,0.4405948649434161,0.021241315401288312,0.4420065594490758,0.018142401392604025,1.0670611144346405,0.02420241513629699,0.6490685788006627,0.017787059521012057,0.42257459778015194,0.015487085538615502,0.6186321697768272,0.007250195773252409,0.3595420299728592,0.10809167525474937,0.47857666407736144,0.05139820404092951,0.3964645755878191,0.07479838579804939
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.40841573700770606,0.0380994164838082,0.4243497571312898,0.020441505328458336,0.44190645419007096,0.01757369270696775,0.4406691471024103,0.021405082887177136,0.44190645419007096,0.01757369270696775,1.0655698748941749,0.02295625253515759,0.6484410382617384,0.017236615070735713,0.4226138331863011,0.014954778099003313,0.6188702452843042,0.006829561619544418,0.3587994503868289,0.10969979936253736,0.47732526886945,0.04879721904268118,0.3954711765440173,0.07639228886763275
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.40839942893203957,0.03580131682335538,0.4230213285251496,0.017959688015146507,0.4423207685776555,0.019091685128562182,0.44120365920655685,0.02192408394120632,0.4423207685776555,0.019091685128562182,1.055829053790852,0.012596697646720254,0.6413476703668305,0.009599934952960909,0.4251055609193671,0.015881179028238435,0.6218623881609944,0.003730867828376883,0.3578164299301384,0.10294443462205577,0.4896645193611313,0.05540315999176817,0.3996358791580665,0.06922643468652159
logistic,extended_geographic,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.4083955934810999,0.03719607502959928,0.4242365225575117,0.019674402216243565,0.44211294088032593,0.018641616521551024,0.4405791175257803,0.0216147841284616,0.44211294088032593,0.018641616521551024,1.0665043965458392,0.02395781117047949,0.6487791497957883,0.017627270938042495,0.4227432116358546,0.015047808628616374,0.6188911082352563,0.006996852696185754,0.3591539867778585,0.10821988941634816,0.4780491490166504,0.052012519424193535,0.39573616648618953,0.07378422252809182
logistic,extended_geographic,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.40830294168641423,0.039422561090901705,0.42402566451434376,0.021135254540817428,0.44163847454513716,0.018024368868798026,0.4405796554834819,0.02403079205325448,0.44163847454513716,0.018024368868798026,1.0600259317385288,0.017167562549718518,0.6446215089302276,0.013228564321272309,0.4250590923659831,0.016181770852280473,0.6209941569906035,0.006174971703342096,0.3593153142970966,0.11036100977867123,0.4804036779430237,0.04782782896551681,0.3969683042286186,0.07779686987930459
logistic,extended_geographic,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.4081355375697539,0.0376120774403194,0.42401922365905864,0.02018565157328704,0.44162761971500897,0.016549357491194072,0.44037324044544557,0.02059710558133209,0.44162761971500897,0.016549357491194072,1.0639594757765913,0.0223519251071814,0.6474536575909786,0.016776471739748357,0.4234444033357236,0.015528383214050017,0.6195822474136766,0.006699540675612088,0.3589738878616716,0.10988055643580986,0.47787775505729524,0.04932637268622163,0.39572410864480656,0.07668617179145722
