split,rows,count_M,rate_M,count_M?,rate_M?,count_S+D,rate_S+D
train_1990_2018,16737,8178,0.4886180319053594,4407,0.26330883670908767,4152,0.24807313138555295
validation_2019_2021,1925,209,0.10857142857142857,1587,0.8244155844155844,129,0.06701298701298701
test_2022_2024_LOCKED,2246,270,0.12021371326803205,1824,0.8121104185218165,152,0.06767586821015138
