model,feature_set,params,mean_macro_f1,std_macro_f1,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_weighted_f1,std_weighted_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_brier_multiclass,std_brier_multiclass,mean_macro_average_precision_ovr,std_macro_average_precision_ovr,mean_macro_roc_auc_ovr,std_macro_roc_auc_ovr,mean_precision_S+D,std_precision_S+D,mean_recall_S+D,std_recall_S+D,mean_f1_S+D,std_f1_S+D
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.4253331451771215,0.04753372660587925,0.43764992485645465,0.028883051677729105,0.4554869640411804,0.017696896598051005,0.4641017111888706,0.033324846504128015,0.4554869640411804,0.017696896598051005,1.0481435961023065,0.026136289712136815,0.6354379253488929,0.020899315157463398,0.4379284821965073,0.02723823247859806,0.6315469799536247,0.011716541269198863,0.38314689026217824,0.11835837038479399,0.49995218153498444,0.0636330305148569,0.4210115291620447,0.09108140889175884
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.42504851692674883,0.04428844872536897,0.4371756641284262,0.02512430650642288,0.45521153881264587,0.018414874085697364,0.4643508732039966,0.03249254842245945,0.45521153881264587,0.018414874085697364,1.0458199561516601,0.01729008354588944,0.6338960919329899,0.014025003681912273,0.4403515609825785,0.024978987553813708,0.6338547668787428,0.009296429375524853,0.3805938665525277,0.1127078344059111,0.49135595353239997,0.05696724677958465,0.41449021252799795,0.07712177224869678
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.4250101621639618,0.040709892038383565,0.4369373296663669,0.02174000149937516,0.4575936090473002,0.0171193978471166,0.46080330778200657,0.025107758388968067,0.4575936090473002,0.0171193978471166,1.0486373654300964,0.02093574642230296,0.636414824323569,0.016934782467404593,0.43973667624224017,0.02594572302346881,0.6330149057592259,0.008505167073382907,0.3752559505203518,0.11015857270866648,0.5034967256099886,0.05608963486268143,0.41676414737252293,0.07999934096910848
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.4249894911833181,0.04413363196326224,0.43774368637570493,0.02369940304901455,0.45534239122786097,0.015763304992257202,0.46421604767169605,0.03482324250257896,0.45534239122786097,0.015763304992257202,1.0460264439239455,0.018401318115543387,0.6340350207538323,0.014534678461639033,0.43879136442960576,0.0260394380240053,0.6330459174698433,0.010307407558130213,0.3805592991167133,0.11370067195137643,0.4875212558193188,0.05245809920129399,0.41285143087446025,0.07628852312922048
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.4249637723966341,0.04378708860691928,0.43746198377999573,0.024222735991836164,0.4558898618983389,0.016538144588896023,0.4639401544022844,0.0340175294192013,0.4558898618983389,0.016538144588896023,1.0455744428929008,0.01666946469688119,0.6337018599021453,0.013653285718012232,0.44072264310821974,0.024694978811744338,0.6343016662996718,0.008364081749296844,0.3802419372666678,0.11288863134066827,0.4895826417476579,0.05655853887434352,0.4134841032906108,0.07628141173658494
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.42461116037363206,0.047775330991234544,0.43682700258164775,0.02938819318364154,0.4541717886827401,0.016305015240455793,0.46466277242232906,0.034076836268824205,0.4541717886827401,0.016305015240455793,1.0466183562009381,0.027580652953134565,0.6349057476684017,0.02117750357232669,0.4382743137587569,0.02870006250129387,0.632607901854727,0.013273601511278025,0.38226131907283667,0.12306991152364924,0.4951024430890105,0.058264526340223805,0.41760946979485986,0.09153074356433058
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.42452163322436737,0.044255047053861414,0.4375416273292598,0.02328119553672159,0.45561554938390864,0.013465174000185556,0.46355239240561535,0.03571076316996115,0.45561554938390864,0.013465174000185556,1.045693596062717,0.017021847141058945,0.633721976725717,0.013700432588621025,0.4385804604936787,0.0253972933742189,0.633024689597206,0.009317453319206833,0.37856090573820733,0.11367411987303272,0.4896748043972816,0.054043111003381286,0.41203524274278214,0.07692585450345518
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.4244579104379727,0.04050572079685904,0.4369400692841873,0.020980548142491784,0.45741248625399145,0.018636230478438237,0.46046489124047413,0.026663993219827393,0.45741248625399145,0.018636230478438237,1.0484338664529729,0.0194177787785189,0.6361786690677584,0.015776474033553377,0.4384971935476041,0.02587045075696774,0.6327979469685043,0.008248114017175203,0.37687143678215246,0.11011027422366387,0.5023199052497794,0.06004164429658193,0.4163054301004861,0.07697691956106376
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""balanced""}",0.42432422935168573,0.04718065824274841,0.43676307102402195,0.02820055143663251,0.4545339851529283,0.020369099436238415,0.4632784546667116,0.031603388399047416,0.4545339851529283,0.020369099436238415,1.0487563402659377,0.02817936012038738,0.6361676132464493,0.021896734162136708,0.43834318834668007,0.027011670602678593,0.6327852456069828,0.01174412595048812,0.3810348629751937,0.11879318186250806,0.4955323221224627,0.06715810485735416,0.41769980408317187,0.09282522600721058
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.4243054405171504,0.04161841341398291,0.4359922314575093,0.023486919920256005,0.4547554620628854,0.016091734752581997,0.4621477309384609,0.02637715569297317,0.4547554620628854,0.016091734752581997,1.0448204570497086,0.019980793530676475,0.6341244796416929,0.016300105143017832,0.44129477946250245,0.02388620896105657,0.6347112142836646,0.00857152446218268,0.37843449866313417,0.11565757069024223,0.4952958452216432,0.05123030160571686,0.41555068946444945,0.08287641259277714
