INDICATED_DAMAGE,SPECIES,SIZE,NUM_STRUCK,PHASE_OF_FLIGHT,HEIGHT,SPEED,TIME,SKY,WARNED,DAMAGE_LEVEL
0,0.0,11.5,0.2,41.3,52.0,70.8,34.8,54.7,0.0,37.6
1,0.0,7.8,0.6,12.0,24.7,44.3,35.2,30.4,0.0,0.0
