SPEED_BAND,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
101–150,53282,4913,48369,9.220749971847903,8.978016780649403,9.469363057675228
100 or less,18281,2989,15292,16.350309064055576,15.821281764253303,16.893475797551332
151–200,17618,2249,15369,12.76535361562039,12.280694018019393,13.266247681876495
More than 200,11605,1577,10028,13.588970271434727,12.977542168930764,14.224496663264171
