TIME_OF_DAY,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Dawn,6270,552,5718,8.803827751196172,8.127445459369198,9.53066054062927
Day,110299,9791,100508,8.876780387854831,8.710362828953397,9.046062405335398
Dusk,7989,902,7087,11.290524471147828,10.615058860090743,12.003199957899593
Night,55901,5708,50193,10.210908570508577,9.962626919732513,10.464658576770887
Not reported,138648,3955,134693,2.852547458311696,2.766219558350497,2.9414879691346636
