INCIDENT_YEAR,Reported_Strikes,TIME_OF_DAY_Available_Pct,PHASE_OF_FLIGHT_Available_Pct,WARNED_Available_Pct,HEIGHT_Available_Pct,SPEED_Available_Pct,DISTANCE_Available_Pct,SKY_Available_Pct,PRECIPITATION_Available_Pct
1990,2120,76.13207547169812,80.70754716981132,71.17924528301887,76.32075471698113,58.96226415094339,57.35849056603774,71.50943396226414,7.641509433962268
1991,2515,78.76739562624255,86.75944333996024,72.84294234592446,79.52286282306163,62.186878727634195,54.07554671968191,73.20079522862824,7.753479125248508
1992,2652,80.54298642533936,85.78431372549021,71.26696832579185,78.43137254901961,58.710407239819006,60.2187028657617,72.2473604826546,9.012066365007543
1993,2625,80.95238095238095,85.18095238095238,66.85714285714286,77.06666666666666,56.952380952380956,59.84761904761905,69.94285714285715,8.571428571428575
1994,2707,80.27336534909495,86.14702622829701,65.94015515330625,77.90912449205763,56.29848540820096,57.960842260805315,69.67122275581825,8.570373106760254
1995,2827,79.62504421648391,85.28475415634948,65.01591793420587,77.00742836929606,55.6420233463035,56.243367527414215,67.88114609126282,7.640608418818539
1996,3031,75.28868360277137,81.88716595183108,60.3101286704058,72.31936654569449,50.313427911580334,57.604750907291326,62.322665786869024,7.8851864071263655
1997,3560,75.84269662921348,79.66292134831461,60.73033707865169,68.76404494382022,48.79213483146068,55.842696629213485,62.89325842696629,6.123595505617974
1998,3808,75.63025210084034,76.890756302521,61.370798319327726,68.04096638655463,47.21638655462185,57.7468487394958,63.41911764705883,7.379201680672265
1999,5118,56.03751465416178,67.81946072684643,42.37983587338804,57.15123094958968,36.55724892536148,46.20945681906995,48.515044939429465,4.962876123485738
2000,6028,53.74917053749171,68.91174518911744,37.34240212342402,58.72594558725945,36.91108161911082,48.971466489714665,48.424021234240215,5.159256801592571
2001,5828,55.216197666437886,69.18325326012354,32.32669869595058,59.04255319148937,36.238846945779,51.938915579958824,48.8675360329444,4.649965682910084
2002,6223,57.06251004338743,69.32347742246505,40.78418769082436,58.87835449140286,39.112968021854414,51.4382130805078,49.87947935079544,4.660131769243126
2003,5992,60.26368491321763,69.3758344459279,40.52069425901201,60.54739652870494,41.255006675567415,53.57142857142857,51.7022696929239,5.307076101468622
2004,6612,59.271022383545066,70.17543859649122,39.897156684815485,61.16152450090744,39.18632788868723,55.05142165759226,50.33272837265578,4.522081064730788
2005,7273,55.54791695311425,64.4713323250378,37.45359549016912,56.097896328887664,36.147394472707276,51.31307575965901,45.55204179843256,4.001099958751542
2006,7294,62.297778996435426,66.16397038661914,42.953112146970106,57.71867288182067,36.19413216342199,59.55579928708528,52.22100356457362,4.359747737866737
2007,7750,63.61290322580645,65.35483870967742,43.63870967741935,57.5741935483871,39.32903225806451,64.63225806451614,55.2516129032258,4.116129032258065
2008,7639,64.58960596936771,63.17580835187853,43.27791595758607,56.89226338525985,39.677968320460785,67.87537635816207,54.13012174368372,4.46393507003534
2009,9509,69.01882427174255,67.02071721526974,51.793038174361136,60.47954569355347,40.95067830476391,70.50163003470396,56.78830581554317,4.500999053528232
2010,9901,60.35753964246035,62.78153721846278,48.146651853348146,56.16604383395616,36.57206342793658,70.95242904757096,55.18634481365518,3.5248964751035228
2011,10112,59.44422468354431,62.12420886075949,48.2693829113924,56.40822784810127,37.50988924050633,71.99367088607596,56.87302215189873,4.193037974683545
2012,10937,58.270092347078716,60.21760994788333,42.04992228216147,53.88132028892749,38.4657584346713,70.65008686111365,53.579592209929594,3.227576117765385
2013,11406,54.31351920042082,56.1634227599509,40.60143783973348,50.1841136244082,35.3585832018236,71.74294231106435,49.16710503243906,3.6647378572681077
2014,13690,57.19503287070855,59.159970781592406,35.03287070854638,48.80934989043097,30.430971512052597,69.98539079620161,43.87143900657414,3.0387143900657443
2015,13777,52.02874355810408,57.93714161283299,35.98751542425782,47.680917471147566,29.69441823328737,70.37090803513102,45.09690063148726,3.22276257530667
2016,13378,55.09792196142922,57.76648228434744,36.71699805651068,45.61219913290478,25.115861862759758,69.04619524592614,46.030796830617426,2.8330094184481958
2017,14756,54.10002710761723,54.04581187313635,35.917592843589055,41.06804011927352,22.62130658715099,68.7923556519382,42.13201409596097,2.6701002981837862
2018,16206,54.5662100456621,55.855855855855864,36.04220659015179,42.63235838578304,25.416512402813773,68.91891891891892,39.92965568308035,3.1469825990373956
2019,17348,43.97048651141342,54.73829836292368,31.20244408577357,42.17777265390823,23.72031358081623,68.26147106294673,39.284067327645836,2.8648835600645572
2020,11625,44.387096774193544,52.32688172043011,26.864516129032257,41.169892473118274,22.795698924731177,77.66881720430108,39.122580645161285,3.070967741935482
2021,15641,51.60156000255738,54.1973019627901,25.04954926155617,40.866952240905306,21.571510772968484,74.1960232721693,38.90416213797072,2.7172175692091294
2022,17223,51.309295709226035,54.496893688672124,25.042094873134758,41.27620042965802,22.887998606514547,71.86901236718342,41.131045694710565,2.531498577483593
2023,19625,50.55286624203822,55.34777070063694,23.628025477707006,41.095541401273884,21.864968152866236,69.57452229299363,40.62675159235669,2.7668789808917182
2024,22371,51.54888024674802,53.712395512046854,29.55612176478477,38.95668499396541,21.08086361807697,68.3563542085736,39.76576818202137,2.579232041482271
