AIRPORT_ID,AIRPORT,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
KOKC,WILL ROGERS WORLD ARPT,1273,28,1245,2.199528672427337,1.5260970298547318,3.160592376254844
KGRR,GERALD R. FORD INTL ARPT,1254,25,1229,1.9936204146730463,1.353959315701082,2.926516063710762
KDSM,DES MOINES INTL,1216,39,1177,3.2072368421052633,2.354917539117253,4.354281425731954
KBDL,BRADLEY INTL,1203,34,1169,2.826267664172901,2.029448067738414,3.9234126888016316
KMDT,HARRISBURG INTL,1201,37,1164,3.0807660283097418,2.2432440372537754,4.217489058283431
KONT,ONTARIO INTL ARPT,1184,40,1144,3.3783783783783785,2.490685530784617,4.567629315235257
KRDU,RALEIGH-DURHAM INTL,1085,55,1030,5.0691244239631335,3.9150413241090325,6.540253550737779
KACY,ATLANTIC CITY INTL,1077,18,1059,1.6713091922005572,1.0597522613798087,2.6264122977933386
KSRQ,SARASOTA-BRADENTON INTL ARPT,1038,44,994,4.238921001926782,3.1726502081992423,5.642662983364618
KALB,ALBANY INTL,1024,39,985,3.80859375,2.798413816670973,5.164058221822117
KSFB,ORLANDO SANFORD INTL ARPT,1022,91,931,8.904109589041095,7.308372916000814,10.807640316451444
KLIT,BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,1014,36,978,3.5502958579881656,2.575332651006208,4.875885691808627
KBHM,BIRMINGHAM-SHUTTLESWORTH INTL,999,60,939,6.006006006006006,4.694348847969056,7.654720037884901
KPVD,RHODE ISLAND TF GREEN INTERNATIONAL AIRPORT,997,36,961,3.6108324974924777,2.6194337817693696,4.958348756446469
KRIC,RICHMOND INTL,981,41,940,4.17940876656473,3.095572097317794,5.6207128362187255
KLGB,LONG BEACH-DAUGH FLD,957,24,933,2.507836990595611,1.690949611682841,3.7044870555055907
KBUF,BUFFALO-NIAGARA INTL,944,39,905,4.13135593220339,3.0367062706816252,5.5978166285032165
KDAY,JAMES M COX DAYTON INTL,926,23,903,2.4838012958963285,1.6606901830129528,3.6995346122640056
KMFE,MC ALLEN MILLER INTL,909,13,896,1.4301430143014302,0.8376544471822819,2.43143407814347
KBKL,BURKE LAKEFRONT,888,35,853,3.9414414414414414,2.847469491023839,5.432207079344711
KCHS,CHARLESTON AFB/INTL ARPT,887,29,858,3.269447576099211,2.285888544551453,4.656041423694305
KORF,NORFOLK INTL,876,64,812,7.30593607305936,5.7627123901399795,9.22198485536421
KHPN,WESTCHESTER COUNTY ARPT,873,63,810,7.216494845360824,5.680960549340704,9.126913529626352
KCOS,CITY OF COLORADO SPRINGS MUNI APRT,857,19,838,2.2170361726954493,1.423837716787948,3.4367080560929164
PHOG,KAHULUI ARPT,847,17,830,2.0070838252656436,1.2568327356332938,3.1907166084514333
KSBA,SANTA BARBARA MUNICIPAL,843,41,802,4.863582443653618,3.6051476102882978,6.5315296620611
KDAB,DAYTONA BEACH INTL,840,74,766,8.80952380952381,7.075481865329546,10.91860612464393
KSAN,SAN DIEGO INTL,819,37,782,4.517704517704518,3.295131837561463,6.164963519795287
KIWA,PHOENIX-MESA GATEWAY,786,33,753,4.198473282442748,3.0049331443020786,5.837548690030274
KTUL,TULSA INTL,768,39,729,5.078125,3.736743322082688,6.866675825058384
KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,763,7,756,0.9174311926605505,0.44509481015455027,1.8815395299751458
KLAS,HARRY REID INTERNATIONAL AIRPORT,759,60,699,7.905138339920949,6.190678536631764,10.04356983157469
KMMU,MORRISTOWN MUNICIPAL ARPT,742,51,691,6.873315363881402,5.266173415191633,8.924721809746208
KABE,LEHIGH VALLEY INTL,732,23,709,3.1420765027322406,2.1026968186311668,4.67071745965916
KTYS,MCGHEE TYSON ARPT,729,11,718,1.5089163237311385,0.8445987817055146,2.6816202538950846
KSAV,SAVANNAH/HILTON HEAD INTL ARPT,727,29,698,3.988995873452544,2.7915324548969593,5.670164306754264
KLEX,BLUE GRASS ARPT,711,18,693,2.5316455696202533,1.6072720960742553,3.9662143937998646
KCRP,CORPUS CHRISTI INTL ARPT,689,27,662,3.9187227866473147,2.7069355828757105,5.641523862977425
KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,685,42,643,6.131386861313868,4.567831635285273,8.184243732985168
KABQ,ALBUQUERQUE INTL SUNPORT,671,31,640,4.619970193740686,3.2735595477042163,6.48304111236179
KPBI,PALM BEACH INTL,663,63,600,9.502262443438914,7.497617730635985,11.97351304464858
KMSN,DANE COUNTY REGIONAL ARPT-TRUAX FLD,655,17,638,2.595419847328244,1.6266489689078858,4.117007776507096
KBTR,"BATON ROUGE METROPOLITAN, RYAN FIELD",653,15,638,2.2970903522205206,1.3969109017048214,3.7552597281700226
KPIE,ST. PETE-CLEARWATER INTL ARPT,649,41,608,6.317411402157165,4.690668870068375,8.458248110712262
KPWM,PORTLAND INTL JETPORT (ME),648,20,628,3.0864197530864197,2.006706023693995,4.719099754887794
KBUR,BOB HOPE ARPT,646,35,611,5.41795665634675,3.9211653445416994,7.441849888708989
KPIA,PEORIA INTL ARPT,636,26,610,4.088050314465408,2.8048254038125187,5.922584630170893
KTUS,TUCSON INTL,628,12,616,1.910828025477707,1.096380657172623,3.3100401926099803
KEVV,EVANSVILLE REGIONAL,626,17,609,2.7156549520766773,1.702305346820058,4.305808439249327
KMYR,MYRTLE BEACH INTL,610,22,588,3.606557377049181,2.3935763753353925,5.4002258042497
KELP,EL PASO INTL ARPT,607,21,586,3.459637561779242,2.2737604789002663,5.230901940948021
KRFD,CHICAGO/ROCKFORD INTL ARPT,603,28,575,4.643449419568822,3.2319096834651004,6.629246835797916
KROC,GREATER ROCHESTER INTL,593,33,560,5.564924114671164,3.989653008893347,7.712212276636349
KLCK,RICKENBACKER INTL,588,7,581,1.1904761904761905,0.5778306162749238,2.4367597741268323
KCID,THE EASTERN IOWA ARPT,587,28,559,4.770017035775128,3.3205478625989144,6.807648933293589
KAPA,CENTENNIAL ARPT,584,33,551,5.650684931506849,4.051568206667625,7.829455524895435
KBOI,BOISE AIR TERMINAL/GOWEN FIELD,580,31,549,5.344827586206897,3.7906293196665484,7.486676031647919
KFWA,FORT WAYNE INTL,579,13,566,2.2452504317789295,1.3167372075497583,3.8032816792283985
KPSM,PORTSMOUTH INTL ARPT AT PEASE,578,7,571,1.2110726643598615,0.5878482069060473,2.478553370430465
TJSJ,LUIS MUNOZ MARIN INTL,576,26,550,4.513888888888888,3.098740063643238,6.531752125947851
PHTO,HILO INTL ARPT,565,10,555,1.7699115044247788,0.9641580681004104,3.2270965799422076
KSGF,SPRINGFIELD-BRANSON NATIONAL,565,18,547,3.185840707964602,2.0245212256117395,4.979467230928709
KMLI,QUAD CITY ARPT,563,28,535,4.9733570159857905,3.463013213686884,7.094010124049796
KGSO,PIEDMONT TRIAD INTL,556,33,523,5.935251798561151,4.257107648715362,8.218135348589591
KSBN,SOUTH BEND REGIONAL,548,19,529,3.4671532846715327,2.230677784859892,5.3514979699219145
KGNV,GAINESVILLE REG ARPT,547,15,532,2.742230347349177,1.6687317279780483,4.47488560230347
KICT,WICHITA DWIGHT D EISENHOWER NATL ARPT,541,36,505,6.654343807763401,4.845003405034143,9.074932223963348
KVNY,VAN NUYS ARPT,537,19,518,3.5381750465549344,2.276603456007922,5.45978368580957
KAGS,AUGUSTA REGIONAL ARPT AT BUSH FLD,537,8,529,1.48975791433892,0.7567648549603312,2.9118878522278733
KHVN,TWEED-NEW HAVEN ARPT,525,9,516,1.7142857142857144,0.9044514830167805,3.225632080757325
KMAF,MIDLAND INTL,511,14,497,2.73972602739726,1.6388717071622982,4.545865501330566
KPNS,PENSACOLA INTL ARPT,510,23,487,4.509803921568627,3.0236337819925563,6.67616475514418
KCHA,LOVELL FIELD ARPT,506,7,499,1.383399209486166,0.6716908677985257,2.827748958218025
KMKC,CHARLES B WHEELER DOWNTOWN ARPT,497,23,474,4.627766599597585,3.1032253070472797,6.848344211139709
KLAN,CAPITAL REGION INTL ARPT,492,17,475,3.4552845528455287,2.168300756313214,5.463491332127933
KILM,WILMINGTON INTL,490,15,475,3.061224489795918,1.8637493319933325,4.988974294367833
KEYW,KEY WEST INTL ARPT,485,18,467,3.711340206185567,2.360266563608824,5.789939965459079
KRNO,RENO TAHOE INTL,472,25,447,5.296610169491525,3.6130419747942537,7.701983865737554
PANC,TED STEVENS ANCHORAGE INTL,472,49,423,10.38135593220339,7.941972380624453,13.460443885628859
KISP,LONG ISLAND MAC ARTHUR,470,22,448,4.680851063829787,3.111186122078809,6.9853524680323185
KILN,WILMINGTON AIR PARK,464,19,445,4.094827586206897,2.636886364553747,6.306653500220996
KMHT,MANCHESTER AIRPORT,464,17,447,3.6637931034482754,2.2998543889022613,5.788695239860978
KGFK,GRAND FORKS INTL,456,42,414,9.210526315789473,6.886323154058044,12.216254777125215
KJAN,JACKSON EVERS INTL,442,29,413,6.561085972850679,4.606743052540647,9.264012839237958
KFSD,JOE FOSS FIELD ARPT,434,53,381,12.211981566820276,9.458701862289235,15.628361587140871
KGPT,GULFPORT-BILOXI INTL APRT,433,12,421,2.771362586605081,1.592295517030525,4.781090167849303
KLNK,LINCOLN ARPT,429,28,401,6.526806526806526,4.553931052742796,9.27135745926714
KBED,LAURENCE G HANSCOM FIELD ARPT,422,20,402,4.739336492890995,3.0886291074001053,7.206654397076676
KCAE,COLUMBIA METRO,422,19,403,4.502369668246446,2.901030566336696,6.924594736592844
KSHV,SHREVEPORT REGIONAL,408,21,387,5.147058823529411,3.390807115399101,7.740074272008096
KGSP,GREENVILLE-SPARTANBURG INTL,398,9,389,2.261306532663317,1.194137762110197,4.241237768944826
KBJC,ROCKY MOUNTAIN METROPOLITAN ARPT,395,13,382,3.2911392405063293,1.9332544722388316,5.548813596889364
KAVL,ASHEVILLE REGIONAL ARPT,394,17,377,4.314720812182741,2.7110693375165686,6.800655932037948
KLBB,LUBBOCK PRESTON SMITH INTL ARPT,393,17,376,4.325699745547073,2.71801200524723,6.817681833301953
