HEIGHT_BAND,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
0,68798,4531,64267,6.585947265908892,6.403014567633323,6.773728073511327
1–100,25324,2180,23144,8.608434686463434,8.269216098447613,8.96020940459249
"1,501–5,000",21789,3133,18656,14.378814998393686,13.919196331515133,14.850992132572088
101–500,20232,2039,18193,10.078094108343219,9.670824100222882,10.500521775502895
"501–1,500",18741,2954,15787,15.762232538285042,15.247554183845754,16.29094438634221
"More than 5,000",6033,969,5064,16.061660865241173,15.15675956345376,17.009756119183994
