DISTANCE_BAND,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
0,185839,6712,179127,3.611728431599395,3.527851265130654,3.6975234032687343
More than 1–5,10356,1148,9208,11.08536114329857,10.495056827655569,11.704525837778235
More than 5,9988,1257,8731,12.585102122547056,11.948967231382209,13.250007099836173
More than 0–1,5870,622,5248,10.59625212947189,9.834466625509428,11.409579179198685
