Variable,Available_Records,Missing_Records,Missing_Percentage,Mean,Standard_Deviation,Minimum,P25,Median,P75,P99,Maximum
HEIGHT,160917,158190,49.572713854600494,876.909288639485,1853.0477058885526,0.0,0.0,50.0,900.0,9000.0,32000.0
SPEED,100786,218321,68.41623656015067,142.83108765106266,46.45693689348603,0.0,120.0,140.0,160.0,250.0,541.0
DISTANCE,212053,107054,33.547994873193005,0.854350233196418,3.6480051044037993,0.0,0.0,0.0,0.0,20.0,99.0
