WILDLIFE_TYPE,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Bird,293433,18529,274904,6.314559030511225,6.227124299333412,6.403137598905342
Other wildlife,12764,976,11788,7.6465057975556245,7.19812125051405,8.120377061683055
Bat,6427,63,6364,0.980239614127898,0.766952628808561,1.2520925922710564
Terrestrial mammal,5812,1336,4476,22.98692360633173,21.92325429108553,24.086279393600783
Reptile,671,4,667,0.5961251862891207,0.23205468310015495,1.5226682029815566
