DAY_OF_WEEK,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Monday,46755,2967,43788,6.345845364132178,6.1284332180695476,6.57043056216576
Tuesday,47847,3088,44759,6.453905156018141,6.237214931603358,6.677587386105513
Wednesday,48045,3101,44944,6.454365698824019,6.238107989735152,6.677586527237346
Thursday,49334,3214,46120,6.514776827340171,6.3003718167727705,6.735953631237909
Friday,47593,3156,44437,6.631227281322884,6.411155315481501,6.858299941818596
Saturday,39023,2662,36361,6.821618020141967,6.575696486546412,7.076040065970307
Sunday,40510,2720,37790,6.714391508269562,6.474756050163117,6.962235814859128
